Orthogroup	Tgondii	Pfalciparum
OG0000075	TGME49_213410	PF3D7_1126900
OG0000075	TGME49_261470	PF3D7_1325000
OG0000076	TGME49_312280	PF3D7_1030100
OG0000076	TGME49_260200	PF3D7_1364300
OG0000077	TGME49_219828, TGME49_210408	PF3D7_0817900, PF3D7_1202900
OG0000078	TGME49_270320, TGME49_237500, TGME49_276920	PF3D7_1455000
OG0000079	TGME49_321900, TGME49_236040, TGME49_236050	PF3D7_1444800
OG0000080	TGME49_321530	PF3D7_1115400, PF3D7_1115700, PF3D7_1115300
OG0000081	TGME49_206590	PF3D7_0610600
OG0000081	TGME49_242400	PF3D7_0310100
OG0000082	TGME49_209910	PF3D7_0714000
OG0000082	TGME49_251870	PF3D7_1105100
OG0000083	TGME49_304770	PF3D7_0527100
OG0000083	TGME49_280760	PF3D7_1245300
OG0000084	TGME49_254610	PF3D7_1242900
OG0000084	TGME49_274090	PF3D7_1421500
OG0000085	TGME49_315940, TGME49_315210, TGME49_315220	PF3D7_0613300
OG0000086	TGME49_307603	PF3D7_0931900
OG0000086	TGME49_288320	PF3D7_0415600
OG0000087	TGME49_209800, TGME49_292110, TGME49_229170	PF3D7_0316600
OG0000088	TGME49_300130, TGME49_255260, TGME49_315730	PF3D7_1133400
OG0000089	TGME49_262920, TGME49_277850, TGME49_290840	PF3D7_0807700
OG0000090	TGME49_260170	PF3D7_1233000
OG0000090	TGME49_223970	PF3D7_0602400
OG0000091	TGME49_224350, TGME49_221310, TGME49_224460	PF3D7_1311800
OG0000092	TGME49_316300, TGME49_264840, TGME49_306080	PF3D7_0918600
OG0000093	TGME49_246910, TGME49_262750, TGME49_242870	PF3D7_1355300
OG0000094	TGME49_330000, TGME49_322210, TGME49_255060	mal_mito_3
OG0000095	TGME49_237120, TGME49_323400, TGME49_322600	mal_mito_1
OG0000096	TGME49_302053, TGME49_302057	PFC10_API0029
OG0000097	TGME49_277030, TGME49_328600	PF3D7_1225100
OG0000098	TGME49_244500, TGME49_307760	PF3D7_1147200
OG0000099	TGME49_270310, TGME49_265538	PF3D7_1208300
OG0000100	TGME49_294630	PF3D7_1361500.1, PF3D7_1361500.2
OG0000101	TGME49_261400, TGME49_231100	PF3D7_0606800
OG0000102	TGME49_264110	PF3D7_1117600.1, PF3D7_1117600.2
OG0000103	TGME49_261720, TGME49_225530	PF3D7_0609100
OG0000104	TGME49_276940	PF3D7_0219400.2, PF3D7_0219400.1
OG0000105	TGME49_233430	PF3D7_0208100.1, PF3D7_0208100.2
OG0000106	TGME49_202180	PF3D7_0313700.1, PF3D7_0313700.2
OG0000107	TGME49_205030	PF3D7_1011200.1, PF3D7_1011200.2
OG0000108	TGME49_325900, TGME49_254650	PF3D7_1248200
OG0000109	TGME49_309730	PF3D7_0923800.1, PF3D7_0923800.2
OG0000110	TGME49_309265, TGME49_260460	PF3D7_0626100
OG0000111	TGME49_228170, TGME49_228160	PF3D7_1464600
OG0000112	TGME49_268580, TGME49_214800	PF3D7_1133200
OG0000113	TGME49_243750	PF3D7_1247000.2, PF3D7_1247000.1
OG0000114	TGME49_278470, TGME49_258350	PF3D7_0909000
OG0000115	TGME49_224880, TGME49_207665	PF3D7_0724900
OG0000116	TGME49_218880, TGME49_307840	PF3D7_0803200
OG0000117	TGME49_246630	PF3D7_0208700.1, PF3D7_0208700.2
OG0000118	TGME49_202820	PF3D7_0921000.1, PF3D7_0921000.2
OG0000119	TGME49_313725, TGME49_311070	PF3D7_1241400
OG0000120	TGME49_271610, TGME49_236070	PF3D7_1357900
OG0000121	TGME49_309190	PF3D7_1136700.1, PF3D7_1136700.2
OG0000122	TGME49_316610	PF3D7_1029100.2, PF3D7_1029100.1
OG0000123	TGME49_244840, TGME49_248677	PF3D7_0508600
OG0000124	TGME49_261980	PF3D7_1017300.2, PF3D7_1017300.1
OG0000125	TGME49_266260	PF3D7_1036600.1, PF3D7_1036600.2
OG0000126	TGME49_227780	PF3D7_1019500.1, PF3D7_1019500.2
OG0000127	TGME49_232830, TGME49_290720	PF3D7_0806800
OG0000128	TGME49_314710	PF3D7_0108400.2, PF3D7_0108400.1
OG0000129	TGME49_262040	PF3D7_0310600.1, PF3D7_0310600.2
OG0000130	TGME49_258820	PF3D7_1038000.2, PF3D7_1038000.1
OG0000131	TGME49_230430	PF3D7_1303200.2, PF3D7_1303200.1
OG0000132	TGME49_294440, TGME49_255250	PF3D7_0704200
OG0000133	TGME49_203390, TGME49_246330	PF3D7_0920700
OG0000134	TGME49_219500, TGME49_223790	PF3D7_1128900
OG0000135	TGME49_318600	PF3D7_1102400, PF3D7_0412300
OG0000136	TGME49_306040	PF3D7_0930400.1, PF3D7_0930400.2
OG0000137	TGME49_251440	PF3D7_0414200.1, PF3D7_0414200.2
OG0000138	TGME49_280790	PF3D7_0618900.2, PF3D7_0618900.1
OG0000139	TGME49_239755, TGME49_202290	PF3D7_0917300
OG0000140	TGME49_232650, TGME49_275680	PF3D7_1141800
OG0000141	TGME49_231440	PF3D7_1435700.2, PF3D7_1435700.1
OG0000142	TGME49_219100, TGME49_220440	PF3D7_0923500
OG0000143	TGME49_293190, TGME49_288800	PF3D7_1111600
OG0000144	TGME49_202540	PF3D7_1321500.1, PF3D7_1321500.2
OG0000145	TGME49_309240	PF3D7_1304200.2, PF3D7_1304200.1
OG0000146	TGME49_288520	PF3D7_1139500.2, PF3D7_1139500.1
OG0000147	TGME49_289100	PF3D7_0903600.2, PF3D7_0903600.1
OG0000148	TGME49_240575	PF3D7_1217100.2, PF3D7_1217100.1
OG0000149	TGME49_281490	PF3D7_1116200.1, PF3D7_1116200.2
OG0000150	TGME49_229710	PF3D7_1031400.2, PF3D7_1031400.1
OG0000151	TGME49_290260	PF3D7_1330000.2, PF3D7_1330000.1
OG0000152	TGME49_241140, TGME49_253090	PF3D7_1313400
OG0000153	TGME49_262710, TGME49_249200	PF3D7_1439000
OG0000154	TGME49_218740, TGME49_247630	PF3D7_1138200
OG0000155	TGME49_236570, TGME49_266450	PF3D7_0413700
OG0000156	TGME49_315160, TGME49_235130	PF3D7_0210600
OG0000157	TGME49_259090	PF3D7_1412900.1, PF3D7_1412900.2
OG0000158	TGME49_289760	PF3D7_1460000, PF3D7_1026900
OG0000159	TGME49_222260, TGME49_248673	PF3D7_0311500
OG0000160	TGME49_224205	PF3D7_1330400.1, PF3D7_1330400.2
OG0000161	TGME49_238870	PF3D7_0205700.2, PF3D7_0205700.1
OG0000162	TGME49_294330	PF3D7_1147800.2, PF3D7_1147800.1
OG0000163	TGME49_271800, TGME49_254710	PF3D7_1116100
OG0000164	TGME49_313590	PF3D7_0619000.1, PF3D7_0619000.2
OG0000165	TGME49_299970	PF3D7_0601600, PF3D7_0631000
OG0000166	TGME49_252620, TGME49_252850	PF3D7_1013900
OG0000167	TGME49_255920	PF3D7_0914800, PF3D7_1303900
OG0000168	TGME49_274110	PF3D7_0408900.1, PF3D7_0408900.2
OG0000169	TGME49_292310	PF3D7_1104700.2, PF3D7_1104700.1
OG0000170	TGME49_240640	PF3D7_1136500.1, PF3D7_1136500.2
OG0000171	TGME49_327500, TGME49_256840	PF3D7_1306200
OG0000172	TGME49_305850, TGME49_270880	PF3D7_0929200
OG0000173	TGME49_217480, TGME49_203980	PF3D7_1248700
OG0000174	TGME49_320760, TGME49_224070	PF3D7_1365800
OG0000175	TGME49_234410, TGME49_219650	PF3D7_1107900
OG0000176	TGME49_213710, TGME49_310410	PF3D7_0525500
OG0000177	TGME49_222310	PF3D7_0908300.1, PF3D7_0908300.2
OG0000178	TGME49_283830	PF3D7_0316300.1, PF3D7_0316300.2
OG0000179	TGME49_215290, TGME49_315450	PF3D7_0219100
OG0000180	TGME49_253300, TGME49_253390	PF3D7_0930000
OG0000181	TGME49_200290	PF3D7_1114100.1, PF3D7_1114100.2
OG0000182	TGME49_285540, TGME49_210440	PF3D7_1332400
OG0000183	TGME49_290920, TGME49_221270	PF3D7_0829400
OG0000184	TGME49_309220	PF3D7_0526200.1, PF3D7_0526200.2
OG0000185	TGME49_225330, TGME49_225320	PF3D7_1136200
OG0000186	TGME49_290980, TGME49_290970	PF3D7_1415700
OG0000187	TGME49_307850, TGME49_242600	PF3D7_1454700
OG0000188	TGME49_207100, TGME49_212140	PF3D7_1147300
OG0000189	TGME49_234900, TGME49_291000	PF3D7_1433400
OG0000190	TGME49_232040, TGME49_230820	PF3D7_1133300
OG0000191	TGME49_234350, TGME49_240830	PF3D7_1143000
OG0000192	TGME49_257130, TGME49_218362	PF3D7_1210200
OG0000193	TGME49_291080	PF3D7_1428800.1, PF3D7_1428800.2
OG0000194	TGME49_274190, TGME49_272640	PF3D7_1213900
OG0000195	TGME49_213720	PF3D7_1229900.2, PF3D7_1229900.1
OG0000196	TGME49_328500, TGME49_306660	PF3D7_0511500
OG0000197	TGME49_325500, TGME49_318590	PF3D7_1128500
OG0000198	TGME49_210260, TGME49_307570	PF3D7_1114800
OG0000199	TGME49_243440, TGME49_254555	PF3D7_0823300
OG0000200	TGME49_243610, TGME49_227660	PF3D7_0727300
OG0000201	TGME49_248890	PF3D7_1422800, PF3D7_1103600
OG0000202	TGME49_316310, TGME49_316330	PF3D7_0814900
OG0000203	TGME49_201250, TGME49_202490	PF3D7_1221000
OG0000204	TGME49_300100, TGME49_265120	PF3D7_1452000
OG0000205	TGME49_232190, TGME49_228660	PF3D7_1442900
OG0000206	TGME49_263410, TGME49_267410	PF3D7_1407000
OG0000207	TGME49_267100, TGME49_232340	PF3D7_1138500
OG0000208	TGME49_228420, TGME49_226030	PF3D7_0934800
OG0000209	TGME49_266130, TGME49_266120	PF3D7_1212000
OG0000210	TGME49_217890	PF3D7_1215000, PF3D7_1438900
OG0000211	TGME49_261000	PF3D7_1427500, PF3D7_0706700
OG0000212	TGME49_204050, TGME49_231060	PF3D7_0507500
OG0000213	TGME49_305590	PF3D7_0112200, PF3D7_1229100
OG0000214	TGME49_223480, TGME49_201780	PF3D7_1335900
OG0000215	TGME49_219070, TGME49_325000	PF3D7_1417400
OG0000216	TGME49_318320	PF3D7_0307400, PF3D7_1436800
OG0000217	TGME49_314500, TGME49_248760	PF3D7_1136900
OG0000218	TGME49_223700, TGME49_264070	PF3D7_1475500
OG0000219	TGME49_221320, TGME49_218560	PF3D7_1469600
OG0000220	TGME49_315760, TGME49_272710	PF3D7_0420300
OG0000221	TGME49_326800, TGME49_225050	PF3D7_0520900
OG0000222	TGME49_257510, TGME49_261760	PF3D7_0628300
OG0000223	TGME49_202510, TGME49_202500	PF3D7_1323700
OG0000224	TGME49_268850, TGME49_268860	PF3D7_1015900
OG0000225	TGME49_265000, TGME49_320630	PF3D7_1401800
OG0000226	TGME49_209150, TGME49_288830	PF3D7_0915000
OG0000227	TGME49_232940, TGME49_324600	PF3D7_0816500
OG0000228	TGME49_280470, TGME49_280460	PF3D7_0730300
OG0000229	TGME49_223920, TGME49_327200	PF3D7_1252100
OG0000230	TGME49_295658, TGME49_203320	PF3D7_1233600
OG0000231	TGME49_247690, TGME49_216380	PF3D7_1219600
OG0000232	TGME49_204130, TGME49_272430	PF3D7_0408700
OG0000233	TGME49_252200, TGME49_250870	PF3D7_0528400
OG0000234	TGME49_260310, TGME49_239020	PF3D7_0523000
OG0000235	TGME49_258400, TGME49_256040	PF3D7_0109100
OG0000236	TGME49_293368, TGME49_219590	PF3D7_1106000
OG0000237	TGME49_321500, TGME49_268200	PF3D7_1359400
OG0000238	TGME49_253890, TGME49_235680	PF3D7_1440200
OG0000239	TGME49_218260	PF3D7_0610400, PF3D7_0617900
OG0000240	TGME49_226100, TGME49_201150	PF3D7_0904900
OG0000241	TGME49_300611	PFC10_API0036
OG0000242	TGME49_302055	PFC10_API0030
OG0000243	TGME49_300680	PFC10_API0016
OG0000244	TGME49_300690	PFC10_API0017
OG0000245	TGME49_300608	PFC10_API0034
OG0000246	TGME49_300660	PFC10_API0015
OG0000247	TGME49_300631	PFC10_API0043
OG0000248	TGME49_302000	PFC10_API0060
OG0000249	TGME49_302050	PFC10_API0028
OG0000250	TGME49_300606	PFC10_API0033
OG0000251	TGME49_300650	PFC10_API0012
OG0000252	TGME49_267270	PF3D7_0523800
OG0000253	TGME49_232120	PF3D7_1250200
OG0000254	TGME49_269850	PF3D7_0923700
OG0000255	TGME49_226500	PF3D7_1229700
OG0000256	TGME49_209000	PF3D7_0628100
OG0000257	TGME49_247600	PF3D7_0906400
OG0000258	TGME49_228630	PF3D7_1010700
OG0000259	TGME49_277870	PF3D7_0528300
OG0000260	TGME49_319850	PF3D7_1326300
OG0000261	TGME49_215070	PF3D7_1318100
OG0000262	TGME49_260990	PF3D7_1214700
OG0000263	TGME49_228490	PF3D7_1323900
OG0000264	TGME49_248390	PF3D7_0312800
OG0000265	TGME49_290160	PF3D7_1451800
OG0000266	TGME49_300150	PF3D7_1124200
OG0000267	TGME49_243780	PF3D7_0802400
OG0000268	TGME49_254450	PF3D7_0722100
OG0000269	TGME49_230160	PF3D7_1310700
OG0000270	TGME49_306670	PF3D7_1439600
OG0000271	TGME49_270140	PF3D7_1231500
OG0000272	TGME49_305490	PF3D7_0510400
OG0000273	TGME49_265470	PF3D7_1233800
OG0000274	TGME49_300250	PF3D7_0216600
OG0000275	TGME49_319650	PF3D7_0209200
OG0000276	TGME49_284010	PF3D7_0203900
OG0000277	TGME49_309020	PF3D7_0612600
OG0000278	TGME49_276110	PF3D7_1232300
OG0000279	TGME49_283740	PF3D7_0933000
OG0000280	TGME49_264730	PF3D7_0305400
OG0000281	TGME49_235478	PF3D7_1437400
OG0000282	TGME49_268290	PF3D7_1307300
OG0000283	TGME49_266880	PF3D7_0918800
OG0000284	TGME49_206440	PF3D7_0624300
OG0000285	TGME49_226240	PF3D7_1464400
OG0000286	TGME49_285840	PF3D7_1470600
OG0000287	TGME49_289190	PF3D7_1310800
OG0000288	TGME49_267060	PF3D7_1431700
OG0000289	TGME49_258560	PF3D7_0820800
OG0000290	TGME49_260210	PF3D7_1459100
OG0000291	TGME49_222000	PF3D7_0729400
OG0000292	TGME49_212130	PF3D7_0924000
OG0000293	TGME49_288990	PF3D7_1309800
OG0000294	TGME49_313600	PF3D7_0814400
OG0000295	TGME49_273800	PF3D7_1004200
OG0000296	TGME49_221850	PF3D7_0416600
OG0000297	TGME49_247560	PF3D7_0927500
OG0000298	TGME49_232530	PF3D7_0623700
OG0000299	TGME49_259710	PF3D7_0816400
OG0000300	TGME49_216600	PF3D7_0305600
OG0000301	TGME49_266810	PF3D7_1147900
OG0000302	TGME49_262640	PF3D7_0708700
OG0000303	TGME49_320300	PF3D7_0216000
OG0000304	TGME49_202568	PF3D7_1233100
OG0000305	TGME49_224960	PF3D7_0204200
OG0000306	TGME49_276960	PF3D7_0312200
OG0000307	TGME49_305450	PF3D7_1437000
OG0000308	TGME49_294750	PF3D7_1366200
OG0000309	TGME49_293610	PF3D7_1472900
OG0000310	TGME49_261520	PF3D7_0612900
OG0000311	TGME49_208300	PF3D7_0706200
OG0000312	TGME49_214230	PF3D7_0305500
OG0000313	TGME49_237240	PF3D7_0106400
OG0000314	TGME49_257060	PF3D7_0813600
OG0000315	TGME49_230460	PF3D7_0305800
OG0000316	TGME49_313470	PF3D7_1129500
OG0000317	TGME49_222350	PF3D7_0615200
OG0000318	TGME49_316110	PF3D7_1106100
OG0000319	TGME49_213970	PF3D7_1230600
OG0000320	TGME49_228670	PF3D7_0506500
OG0000321	TGME49_316255	PF3D7_1125600
OG0000322	TGME49_249702	PF3D7_1223800
OG0000323	TGME49_313560	PF3D7_0419800
OG0000324	TGME49_280400	PF3D7_0806200
OG0000325	TGME49_261570	PF3D7_1424400
OG0000326	TGME49_285190	PF3D7_1004300
OG0000327	TGME49_226850	PF3D7_0506700
OG0000328	TGME49_236840	PF3D7_1244800
OG0000329	TGME49_320570	PF3D7_1123400
OG0000330	TGME49_301380	PF3D7_0715600
OG0000331	TGME49_278220	PF3D7_0626900
OG0000332	TGME49_218840	PF3D7_1405400
OG0000333	TGME49_288530	PF3D7_1129400
OG0000334	TGME49_306195	PF3D7_1119200
OG0000335	TGME49_278600	PF3D7_0630100
OG0000336	TGME49_211060	PF3D7_0801600
OG0000337	TGME49_321450	PF3D7_1123000
OG0000338	TGME49_256780	PF3D7_1006900
OG0000339	TGME49_239310	PF3D7_0514600
OG0000340	TGME49_286090	PF3D7_1243600
OG0000341	TGME49_268370	PF3D7_1303800
OG0000342	TGME49_278690	PF3D7_0630000
OG0000343	TGME49_273430	PF3D7_1450600
OG0000344	TGME49_258160	PF3D7_1143900
OG0000345	TGME49_313380	PF3D7_0929600
OG0000346	TGME49_314540	PF3D7_0406000
OG0000347	TGME49_279430	PF3D7_1451500
OG0000348	TGME49_217460	PF3D7_1331700
OG0000349	TGME49_221450	PF3D7_0826300
OG0000350	TGME49_250790	PF3D7_0507800
OG0000351	TGME49_297820	PF3D7_1130800
OG0000352	TGME49_239550	PF3D7_1007100
OG0000353	TGME49_263490	PF3D7_0319300
OG0000354	TGME49_226440	PF3D7_1250800
OG0000355	TGME49_215710	PF3D7_1032300
OG0000356	TGME49_214240	PF3D7_0724700
OG0000357	TGME49_261950	PF3D7_1235700
OG0000358	TGME49_250010	PF3D7_1215100
OG0000359	TGME49_215170	PF3D7_0925400
OG0000360	TGME49_206360	PF3D7_0409700
OG0000361	TGME49_315860	PF3D7_1408700
OG0000362	TGME49_209080	PF3D7_0618700
OG0000363	TGME49_267020	PF3D7_0307800
OG0000364	TGME49_223530	PF3D7_1339800
OG0000365	TGME49_208090	PF3D7_1245000
OG0000366	TGME49_249730	PF3D7_1232700
OG0000367	TGME49_246520	PF3D7_0323600
OG0000368	TGME49_318460	PF3D7_0727800
OG0000369	TGME49_292130	PF3D7_1004000
OG0000370	TGME49_218570	PF3D7_0418700
OG0000371	TGME49_230340	PF3D7_1318700
OG0000372	TGME49_225730	PF3D7_1303000
OG0000373	TGME49_305470	PF3D7_1208400
OG0000374	TGME49_205350	PF3D7_0109300
OG0000375	TGME49_240800	PF3D7_1010400
OG0000376	TGME49_254510	PF3D7_1142700
OG0000377	TGME49_239760	PF3D7_0821700
OG0000378	TGME49_231010	PF3D7_0717300
OG0000379	TGME49_264060	PF3D7_0205400
OG0000380	TGME49_285950	PF3D7_1432500
OG0000381	TGME49_273930	PF3D7_0518200
OG0000382	TGME49_318650	PF3D7_1453500
OG0000383	TGME49_266730	PF3D7_0828200
OG0000384	TGME49_286720	PF3D7_1304500
OG0000385	TGME49_205730	PF3D7_0617300
OG0000386	TGME49_282140	PF3D7_1450700
OG0000387	TGME49_287210	PF3D7_0608500
OG0000388	TGME49_221510	PF3D7_0523300
OG0000389	TGME49_204400	PF3D7_0217100
OG0000390	TGME49_305900	PF3D7_0903000
OG0000391	TGME49_221970	PF3D7_0913000
OG0000392	TGME49_309850	PF3D7_0218100
OG0000393	TGME49_205240	PF3D7_1137300
OG0000394	TGME49_277920	PF3D7_1365200
OG0000395	TGME49_260160	PF3D7_1020400
OG0000396	TGME49_227560	PF3D7_1108000
OG0000397	TGME49_319600	PF3D7_0924900
OG0000398	TGME49_289950	PF3D7_1447200
OG0000399	TGME49_261710	PF3D7_1410800
OG0000400	TGME49_289670	PF3D7_1474300
OG0000401	TGME49_263110	PF3D7_0316100
OG0000402	TGME49_292920	PF3D7_1118200
OG0000403	TGME49_223262	PF3D7_1037800
OG0000404	TGME49_285220	PF3D7_0708000
OG0000405	TGME49_215090	PF3D7_0917700
OG0000406	TGME49_230350	PF3D7_1463900
OG0000407	TGME49_204070	PF3D7_0309800
OG0000408	TGME49_205180	PF3D7_1367100
