Orthogroup	Pfalciparum	Tgondii
OG0000052	PF3D7_1216900	TGME49_203380
OG0000052	PF3D7_1005600	TGME49_301340
OG0000053	PF3D7_1304900	TGME49_315920
OG0000053	PF3D7_1415200	TGME49_261540
OG0000054	PF3D7_1212300	TGME49_258520
OG0000054	PF3D7_0922000	TGME49_209300
OG0000055	PF3D7_0107500	TGME49_285470, TGME49_290870, TGME49_320500
OG0000056	PF3D7_1434400	TGME49_212275, TGME49_212270, TGME49_219742
OG0000057	PF3D7_1020900	TGME49_276140
OG0000057	PF3D7_1034700	TGME49_262860
OG0000058	PF3D7_1365500	TGME49_237470
OG0000058	PF3D7_1344000	TGME49_283820
OG0000059	PF3D7_1135000.2, PF3D7_1135000.3, PF3D7_1135000.1	TGME49_253420
OG0000060	PF3D7_0826100	TGME49_295710
OG0000060	PF3D7_1119400	TGME49_275630
OG0000061	PF3D7_1357100, PF3D7_1357000	TGME49_294800, TGME49_286420
OG0000062	PF3D7_1405100	TGME49_218870, TGME49_221710, TGME49_312300
OG0000063	PF3D7_1114000	TGME49_201750
OG0000063	PF3D7_1147100	TGME49_278790
OG0000064	PF3D7_0718800	TGME49_249300, TGME49_304500, TGME49_304490
OG0000065	PF3D7_0213100, PF3D7_0501100.2, PF3D7_0501100.1	TGME49_265310
OG0000066	PF3D7_0822700	TGME49_218340, TGME49_247195, TGME49_218310
OG0000067	PF3D7_0422500	TGME49_223390
OG0000067	PF3D7_1439100	TGME49_249810
OG0000068	PF3D7_1423600	TGME49_235750
OG0000068	PF3D7_1450000	TGME49_240630
OG0000069	PF3D7_0523400	TGME49_246340
OG0000069	PF3D7_0806500	TGME49_313310
OG0000070	PF3D7_0811600	TGME49_297710, TGME49_204290, TGME49_204300
OG0000071	PF3D7_0420000	TGME49_221200, TGME49_232370, TGME49_244120
OG0000072	PF3D7_0607600	TGME49_306430
OG0000072	PF3D7_1316400	TGME49_301420
OG0000073	PF3D7_0827000	TGME49_208540
OG0000073	PF3D7_0422700	TGME49_256770
OG0000074	PF3D7_1008700	TGME49_266960, TGME49_212240, TGME49_221620
OG0000075	PF3D7_1126900	TGME49_213410
OG0000075	PF3D7_1325000	TGME49_261470
OG0000076	PF3D7_1030100	TGME49_312280
OG0000076	PF3D7_1364300	TGME49_260200
OG0000077	PF3D7_0817900, PF3D7_1202900	TGME49_219828, TGME49_210408
OG0000078	PF3D7_1455000	TGME49_270320, TGME49_237500, TGME49_276920
OG0000079	PF3D7_1444800	TGME49_321900, TGME49_236040, TGME49_236050
OG0000080	PF3D7_1115400, PF3D7_1115700, PF3D7_1115300	TGME49_321530
OG0000081	PF3D7_0610600	TGME49_206590
OG0000081	PF3D7_0310100	TGME49_242400
OG0000082	PF3D7_0714000	TGME49_209910
OG0000082	PF3D7_1105100	TGME49_251870
OG0000083	PF3D7_0527100	TGME49_304770
OG0000083	PF3D7_1245300	TGME49_280760
OG0000084	PF3D7_1242900	TGME49_254610
OG0000084	PF3D7_1421500	TGME49_274090
OG0000085	PF3D7_0613300	TGME49_315940, TGME49_315210, TGME49_315220
OG0000086	PF3D7_0931900	TGME49_307603
OG0000086	PF3D7_0415600	TGME49_288320
OG0000087	PF3D7_0316600	TGME49_209800, TGME49_292110, TGME49_229170
OG0000088	PF3D7_1133400	TGME49_300130, TGME49_255260, TGME49_315730
OG0000089	PF3D7_0807700	TGME49_262920, TGME49_277850, TGME49_290840
OG0000090	PF3D7_1233000	TGME49_260170
OG0000090	PF3D7_0602400	TGME49_223970
OG0000091	PF3D7_1311800	TGME49_224350, TGME49_221310, TGME49_224460
OG0000092	PF3D7_0918600	TGME49_316300, TGME49_264840, TGME49_306080
OG0000093	PF3D7_1355300	TGME49_246910, TGME49_262750, TGME49_242870
OG0000094	mal_mito_3	TGME49_330000, TGME49_322210, TGME49_255060
OG0000095	mal_mito_1	TGME49_237120, TGME49_323400, TGME49_322600
OG0000096	PFC10_API0029	TGME49_302053, TGME49_302057
OG0000097	PF3D7_1225100	TGME49_277030, TGME49_328600
OG0000098	PF3D7_1147200	TGME49_244500, TGME49_307760
OG0000099	PF3D7_1208300	TGME49_270310, TGME49_265538
OG0000100	PF3D7_1361500.1, PF3D7_1361500.2	TGME49_294630
OG0000101	PF3D7_0606800	TGME49_261400, TGME49_231100
OG0000102	PF3D7_1117600.1, PF3D7_1117600.2	TGME49_264110
OG0000103	PF3D7_0609100	TGME49_261720, TGME49_225530
OG0000104	PF3D7_0219400.2, PF3D7_0219400.1	TGME49_276940
OG0000105	PF3D7_0208100.1, PF3D7_0208100.2	TGME49_233430
OG0000106	PF3D7_0313700.1, PF3D7_0313700.2	TGME49_202180
OG0000107	PF3D7_1011200.1, PF3D7_1011200.2	TGME49_205030
OG0000108	PF3D7_1248200	TGME49_325900, TGME49_254650
OG0000109	PF3D7_0923800.1, PF3D7_0923800.2	TGME49_309730
OG0000110	PF3D7_0626100	TGME49_309265, TGME49_260460
OG0000111	PF3D7_1464600	TGME49_228170, TGME49_228160
OG0000112	PF3D7_1133200	TGME49_268580, TGME49_214800
OG0000113	PF3D7_1247000.2, PF3D7_1247000.1	TGME49_243750
OG0000114	PF3D7_0909000	TGME49_278470, TGME49_258350
OG0000115	PF3D7_0724900	TGME49_224880, TGME49_207665
OG0000116	PF3D7_0803200	TGME49_218880, TGME49_307840
OG0000117	PF3D7_0208700.1, PF3D7_0208700.2	TGME49_246630
OG0000118	PF3D7_0921000.1, PF3D7_0921000.2	TGME49_202820
OG0000119	PF3D7_1241400	TGME49_313725, TGME49_311070
OG0000120	PF3D7_1357900	TGME49_271610, TGME49_236070
OG0000121	PF3D7_1136700.1, PF3D7_1136700.2	TGME49_309190
OG0000122	PF3D7_1029100.2, PF3D7_1029100.1	TGME49_316610
OG0000123	PF3D7_0508600	TGME49_244840, TGME49_248677
OG0000124	PF3D7_1017300.2, PF3D7_1017300.1	TGME49_261980
OG0000125	PF3D7_1036600.1, PF3D7_1036600.2	TGME49_266260
OG0000126	PF3D7_1019500.1, PF3D7_1019500.2	TGME49_227780
OG0000127	PF3D7_0806800	TGME49_232830, TGME49_290720
OG0000128	PF3D7_0108400.2, PF3D7_0108400.1	TGME49_314710
OG0000129	PF3D7_0310600.1, PF3D7_0310600.2	TGME49_262040
OG0000130	PF3D7_1038000.2, PF3D7_1038000.1	TGME49_258820
OG0000131	PF3D7_1303200.2, PF3D7_1303200.1	TGME49_230430
OG0000132	PF3D7_0704200	TGME49_294440, TGME49_255250
OG0000133	PF3D7_0920700	TGME49_203390, TGME49_246330
OG0000134	PF3D7_1128900	TGME49_219500, TGME49_223790
OG0000135	PF3D7_1102400, PF3D7_0412300	TGME49_318600
OG0000136	PF3D7_0930400.1, PF3D7_0930400.2	TGME49_306040
OG0000137	PF3D7_0414200.1, PF3D7_0414200.2	TGME49_251440
OG0000138	PF3D7_0618900.2, PF3D7_0618900.1	TGME49_280790
OG0000139	PF3D7_0917300	TGME49_239755, TGME49_202290
OG0000140	PF3D7_1141800	TGME49_232650, TGME49_275680
OG0000141	PF3D7_1435700.2, PF3D7_1435700.1	TGME49_231440
OG0000142	PF3D7_0923500	TGME49_219100, TGME49_220440
OG0000143	PF3D7_1111600	TGME49_293190, TGME49_288800
OG0000144	PF3D7_1321500.1, PF3D7_1321500.2	TGME49_202540
OG0000145	PF3D7_1304200.2, PF3D7_1304200.1	TGME49_309240
OG0000146	PF3D7_1139500.2, PF3D7_1139500.1	TGME49_288520
OG0000147	PF3D7_0903600.2, PF3D7_0903600.1	TGME49_289100
OG0000148	PF3D7_1217100.2, PF3D7_1217100.1	TGME49_240575
OG0000149	PF3D7_1116200.1, PF3D7_1116200.2	TGME49_281490
OG0000150	PF3D7_1031400.2, PF3D7_1031400.1	TGME49_229710
OG0000151	PF3D7_1330000.2, PF3D7_1330000.1	TGME49_290260
OG0000152	PF3D7_1313400	TGME49_241140, TGME49_253090
OG0000153	PF3D7_1439000	TGME49_262710, TGME49_249200
OG0000154	PF3D7_1138200	TGME49_218740, TGME49_247630
OG0000155	PF3D7_0413700	TGME49_236570, TGME49_266450
OG0000156	PF3D7_0210600	TGME49_315160, TGME49_235130
OG0000157	PF3D7_1412900.1, PF3D7_1412900.2	TGME49_259090
OG0000158	PF3D7_1460000, PF3D7_1026900	TGME49_289760
OG0000159	PF3D7_0311500	TGME49_222260, TGME49_248673
OG0000160	PF3D7_1330400.1, PF3D7_1330400.2	TGME49_224205
OG0000161	PF3D7_0205700.2, PF3D7_0205700.1	TGME49_238870
OG0000162	PF3D7_1147800.2, PF3D7_1147800.1	TGME49_294330
OG0000163	PF3D7_1116100	TGME49_271800, TGME49_254710
OG0000164	PF3D7_0619000.1, PF3D7_0619000.2	TGME49_313590
OG0000165	PF3D7_0601600, PF3D7_0631000	TGME49_299970
OG0000166	PF3D7_1013900	TGME49_252620, TGME49_252850
OG0000167	PF3D7_0914800, PF3D7_1303900	TGME49_255920
OG0000168	PF3D7_0408900.1, PF3D7_0408900.2	TGME49_274110
OG0000169	PF3D7_1104700.2, PF3D7_1104700.1	TGME49_292310
OG0000170	PF3D7_1136500.1, PF3D7_1136500.2	TGME49_240640
OG0000171	PF3D7_1306200	TGME49_327500, TGME49_256840
OG0000172	PF3D7_0929200	TGME49_305850, TGME49_270880
OG0000173	PF3D7_1248700	TGME49_217480, TGME49_203980
OG0000174	PF3D7_1365800	TGME49_320760, TGME49_224070
OG0000175	PF3D7_1107900	TGME49_234410, TGME49_219650
OG0000176	PF3D7_0525500	TGME49_213710, TGME49_310410
OG0000177	PF3D7_0908300.1, PF3D7_0908300.2	TGME49_222310
OG0000178	PF3D7_0316300.1, PF3D7_0316300.2	TGME49_283830
OG0000179	PF3D7_0219100	TGME49_215290, TGME49_315450
OG0000180	PF3D7_0930000	TGME49_253300, TGME49_253390
OG0000181	PF3D7_1114100.1, PF3D7_1114100.2	TGME49_200290
OG0000182	PF3D7_1332400	TGME49_285540, TGME49_210440
OG0000183	PF3D7_0829400	TGME49_290920, TGME49_221270
OG0000184	PF3D7_0526200.1, PF3D7_0526200.2	TGME49_309220
OG0000185	PF3D7_1136200	TGME49_225330, TGME49_225320
OG0000186	PF3D7_1415700	TGME49_290980, TGME49_290970
OG0000187	PF3D7_1454700	TGME49_307850, TGME49_242600
OG0000188	PF3D7_1147300	TGME49_207100, TGME49_212140
OG0000189	PF3D7_1433400	TGME49_234900, TGME49_291000
OG0000190	PF3D7_1133300	TGME49_232040, TGME49_230820
OG0000191	PF3D7_1143000	TGME49_234350, TGME49_240830
OG0000192	PF3D7_1210200	TGME49_257130, TGME49_218362
OG0000193	PF3D7_1428800.1, PF3D7_1428800.2	TGME49_291080
OG0000194	PF3D7_1213900	TGME49_274190, TGME49_272640
OG0000195	PF3D7_1229900.2, PF3D7_1229900.1	TGME49_213720
OG0000196	PF3D7_0511500	TGME49_328500, TGME49_306660
OG0000197	PF3D7_1128500	TGME49_325500, TGME49_318590
OG0000198	PF3D7_1114800	TGME49_210260, TGME49_307570
OG0000199	PF3D7_0823300	TGME49_243440, TGME49_254555
OG0000200	PF3D7_0727300	TGME49_243610, TGME49_227660
OG0000201	PF3D7_1422800, PF3D7_1103600	TGME49_248890
OG0000202	PF3D7_0814900	TGME49_316310, TGME49_316330
OG0000203	PF3D7_1221000	TGME49_201250, TGME49_202490
OG0000204	PF3D7_1452000	TGME49_300100, TGME49_265120
OG0000205	PF3D7_1442900	TGME49_232190, TGME49_228660
OG0000206	PF3D7_1407000	TGME49_263410, TGME49_267410
OG0000207	PF3D7_1138500	TGME49_267100, TGME49_232340
OG0000208	PF3D7_0934800	TGME49_228420, TGME49_226030
OG0000209	PF3D7_1212000	TGME49_266130, TGME49_266120
OG0000210	PF3D7_1215000, PF3D7_1438900	TGME49_217890
OG0000211	PF3D7_1427500, PF3D7_0706700	TGME49_261000
OG0000212	PF3D7_0507500	TGME49_204050, TGME49_231060
OG0000213	PF3D7_0112200, PF3D7_1229100	TGME49_305590
OG0000214	PF3D7_1335900	TGME49_223480, TGME49_201780
OG0000215	PF3D7_1417400	TGME49_219070, TGME49_325000
OG0000216	PF3D7_0307400, PF3D7_1436800	TGME49_318320
OG0000217	PF3D7_1136900	TGME49_314500, TGME49_248760
OG0000218	PF3D7_1475500	TGME49_223700, TGME49_264070
OG0000219	PF3D7_1469600	TGME49_221320, TGME49_218560
OG0000220	PF3D7_0420300	TGME49_315760, TGME49_272710
OG0000221	PF3D7_0520900	TGME49_326800, TGME49_225050
OG0000222	PF3D7_0628300	TGME49_257510, TGME49_261760
OG0000223	PF3D7_1323700	TGME49_202510, TGME49_202500
OG0000224	PF3D7_1015900	TGME49_268850, TGME49_268860
OG0000225	PF3D7_1401800	TGME49_265000, TGME49_320630
OG0000226	PF3D7_0915000	TGME49_209150, TGME49_288830
OG0000227	PF3D7_0816500	TGME49_232940, TGME49_324600
OG0000228	PF3D7_0730300	TGME49_280470, TGME49_280460
OG0000229	PF3D7_1252100	TGME49_223920, TGME49_327200
OG0000230	PF3D7_1233600	TGME49_295658, TGME49_203320
OG0000231	PF3D7_1219600	TGME49_247690, TGME49_216380
OG0000232	PF3D7_0408700	TGME49_204130, TGME49_272430
OG0000233	PF3D7_0528400	TGME49_252200, TGME49_250870
OG0000234	PF3D7_0523000	TGME49_260310, TGME49_239020
OG0000235	PF3D7_0109100	TGME49_258400, TGME49_256040
OG0000236	PF3D7_1106000	TGME49_293368, TGME49_219590
OG0000237	PF3D7_1359400	TGME49_321500, TGME49_268200
OG0000238	PF3D7_1440200	TGME49_253890, TGME49_235680
OG0000239	PF3D7_0610400, PF3D7_0617900	TGME49_218260
OG0000240	PF3D7_0904900	TGME49_226100, TGME49_201150
OG0000241	PFC10_API0036	TGME49_300611
OG0000242	PFC10_API0030	TGME49_302055
OG0000243	PFC10_API0016	TGME49_300680
OG0000244	PFC10_API0017	TGME49_300690
OG0000245	PFC10_API0034	TGME49_300608
OG0000246	PFC10_API0015	TGME49_300660
OG0000247	PFC10_API0043	TGME49_300631
OG0000248	PFC10_API0060	TGME49_302000
OG0000249	PFC10_API0028	TGME49_302050
OG0000250	PFC10_API0033	TGME49_300606
OG0000251	PFC10_API0012	TGME49_300650
OG0000252	PF3D7_0523800	TGME49_267270
OG0000253	PF3D7_1250200	TGME49_232120
OG0000254	PF3D7_0923700	TGME49_269850
OG0000255	PF3D7_1229700	TGME49_226500
OG0000256	PF3D7_0628100	TGME49_209000
OG0000257	PF3D7_0906400	TGME49_247600
OG0000258	PF3D7_1010700	TGME49_228630
OG0000259	PF3D7_0528300	TGME49_277870
OG0000260	PF3D7_1326300	TGME49_319850
OG0000261	PF3D7_1318100	TGME49_215070
OG0000262	PF3D7_1214700	TGME49_260990
OG0000263	PF3D7_1323900	TGME49_228490
OG0000264	PF3D7_0312800	TGME49_248390
OG0000265	PF3D7_1451800	TGME49_290160
OG0000266	PF3D7_1124200	TGME49_300150
OG0000267	PF3D7_0802400	TGME49_243780
OG0000268	PF3D7_0722100	TGME49_254450
OG0000269	PF3D7_1310700	TGME49_230160
OG0000270	PF3D7_1439600	TGME49_306670
OG0000271	PF3D7_1231500	TGME49_270140
OG0000272	PF3D7_0510400	TGME49_305490
OG0000273	PF3D7_1233800	TGME49_265470
OG0000274	PF3D7_0216600	TGME49_300250
OG0000275	PF3D7_0209200	TGME49_319650
OG0000276	PF3D7_0203900	TGME49_284010
OG0000277	PF3D7_0612600	TGME49_309020
OG0000278	PF3D7_1232300	TGME49_276110
OG0000279	PF3D7_0933000	TGME49_283740
OG0000280	PF3D7_0305400	TGME49_264730
OG0000281	PF3D7_1437400	TGME49_235478
OG0000282	PF3D7_1307300	TGME49_268290
OG0000283	PF3D7_0918800	TGME49_266880
OG0000284	PF3D7_0624300	TGME49_206440
OG0000285	PF3D7_1464400	TGME49_226240
OG0000286	PF3D7_1470600	TGME49_285840
OG0000287	PF3D7_1310800	TGME49_289190
OG0000288	PF3D7_1431700	TGME49_267060
OG0000289	PF3D7_0820800	TGME49_258560
OG0000290	PF3D7_1459100	TGME49_260210
OG0000291	PF3D7_0729400	TGME49_222000
OG0000292	PF3D7_0924000	TGME49_212130
OG0000293	PF3D7_1309800	TGME49_288990
OG0000294	PF3D7_0814400	TGME49_313600
OG0000295	PF3D7_1004200	TGME49_273800
OG0000296	PF3D7_0416600	TGME49_221850
OG0000297	PF3D7_0927500	TGME49_247560
OG0000298	PF3D7_0623700	TGME49_232530
OG0000299	PF3D7_0816400	TGME49_259710
OG0000300	PF3D7_0305600	TGME49_216600
OG0000301	PF3D7_1147900	TGME49_266810
OG0000302	PF3D7_0708700	TGME49_262640
OG0000303	PF3D7_0216000	TGME49_320300
OG0000304	PF3D7_1233100	TGME49_202568
OG0000305	PF3D7_0204200	TGME49_224960
OG0000306	PF3D7_0312200	TGME49_276960
OG0000307	PF3D7_1437000	TGME49_305450
OG0000308	PF3D7_1366200	TGME49_294750
OG0000309	PF3D7_1472900	TGME49_293610
OG0000310	PF3D7_0612900	TGME49_261520
OG0000311	PF3D7_0706200	TGME49_208300
OG0000312	PF3D7_0305500	TGME49_214230
OG0000313	PF3D7_0106400	TGME49_237240
OG0000314	PF3D7_0813600	TGME49_257060
OG0000315	PF3D7_0305800	TGME49_230460
OG0000316	PF3D7_1129500	TGME49_313470
OG0000317	PF3D7_0615200	TGME49_222350
OG0000318	PF3D7_1106100	TGME49_316110
OG0000319	PF3D7_1230600	TGME49_213970
OG0000320	PF3D7_0506500	TGME49_228670
OG0000321	PF3D7_1125600	TGME49_316255
OG0000322	PF3D7_1223800	TGME49_249702
OG0000323	PF3D7_0419800	TGME49_313560
OG0000324	PF3D7_0806200	TGME49_280400
OG0000325	PF3D7_1424400	TGME49_261570
OG0000326	PF3D7_1004300	TGME49_285190
OG0000327	PF3D7_0506700	TGME49_226850
OG0000328	PF3D7_1244800	TGME49_236840
OG0000329	PF3D7_1123400	TGME49_320570
OG0000330	PF3D7_0715600	TGME49_301380
OG0000331	PF3D7_0626900	TGME49_278220
OG0000332	PF3D7_1405400	TGME49_218840
OG0000333	PF3D7_1129400	TGME49_288530
OG0000334	PF3D7_1119200	TGME49_306195
OG0000335	PF3D7_0630100	TGME49_278600
OG0000336	PF3D7_0801600	TGME49_211060
OG0000337	PF3D7_1123000	TGME49_321450
OG0000338	PF3D7_1006900	TGME49_256780
OG0000339	PF3D7_0514600	TGME49_239310
OG0000340	PF3D7_1243600	TGME49_286090
OG0000341	PF3D7_1303800	TGME49_268370
OG0000342	PF3D7_0630000	TGME49_278690
OG0000343	PF3D7_1450600	TGME49_273430
OG0000344	PF3D7_1143900	TGME49_258160
OG0000345	PF3D7_0929600	TGME49_313380
OG0000346	PF3D7_0406000	TGME49_314540
OG0000347	PF3D7_1451500	TGME49_279430
OG0000348	PF3D7_1331700	TGME49_217460
OG0000349	PF3D7_0826300	TGME49_221450
OG0000350	PF3D7_0507800	TGME49_250790
OG0000351	PF3D7_1130800	TGME49_297820
OG0000352	PF3D7_1007100	TGME49_239550
OG0000353	PF3D7_0319300	TGME49_263490
OG0000354	PF3D7_1250800	TGME49_226440
OG0000355	PF3D7_1032300	TGME49_215710
OG0000356	PF3D7_0724700	TGME49_214240
OG0000357	PF3D7_1235700	TGME49_261950
OG0000358	PF3D7_1215100	TGME49_250010
OG0000359	PF3D7_0925400	TGME49_215170
OG0000360	PF3D7_0409700	TGME49_206360
OG0000361	PF3D7_1408700	TGME49_315860
OG0000362	PF3D7_0618700	TGME49_209080
OG0000363	PF3D7_0307800	TGME49_267020
OG0000364	PF3D7_1339800	TGME49_223530
OG0000365	PF3D7_1245000	TGME49_208090
OG0000366	PF3D7_1232700	TGME49_249730
OG0000367	PF3D7_0323600	TGME49_246520
OG0000368	PF3D7_0727800	TGME49_318460
OG0000369	PF3D7_1004000	TGME49_292130
OG0000370	PF3D7_0418700	TGME49_218570
OG0000371	PF3D7_1318700	TGME49_230340
OG0000372	PF3D7_1303000	TGME49_225730
OG0000373	PF3D7_1208400	TGME49_305470
OG0000374	PF3D7_0109300	TGME49_205350
OG0000375	PF3D7_1010400	TGME49_240800
OG0000376	PF3D7_1142700	TGME49_254510
OG0000377	PF3D7_0821700	TGME49_239760
OG0000378	PF3D7_0717300	TGME49_231010
OG0000379	PF3D7_0205400	TGME49_264060
OG0000380	PF3D7_1432500	TGME49_285950
OG0000381	PF3D7_0518200	TGME49_273930
OG0000382	PF3D7_1453500	TGME49_318650
OG0000383	PF3D7_0828200	TGME49_266730
OG0000384	PF3D7_1304500	TGME49_286720
OG0000385	PF3D7_0617300	TGME49_205730
OG0000386	PF3D7_1450700	TGME49_282140
OG0000387	PF3D7_0608500	TGME49_287210
OG0000388	PF3D7_0523300	TGME49_221510
OG0000389	PF3D7_0217100	TGME49_204400
OG0000390	PF3D7_0903000	TGME49_305900
OG0000391	PF3D7_0913000	TGME49_221970
OG0000392	PF3D7_0218100	TGME49_309850
OG0000393	PF3D7_1137300	TGME49_205240
OG0000394	PF3D7_1365200	TGME49_277920
OG0000395	PF3D7_1020400	TGME49_260160
OG0000396	PF3D7_1108000	TGME49_227560
OG0000397	PF3D7_0924900	TGME49_319600
OG0000398	PF3D7_1447200	TGME49_289950
OG0000399	PF3D7_1410800	TGME49_261710
OG0000400	PF3D7_1474300	TGME49_289670
OG0000401	PF3D7_0316100	TGME49_263110
OG0000402	PF3D7_1118200	TGME49_292920
OG0000403	PF3D7_1037800	TGME49_223262
OG0000404	PF3D7_0708000	TGME49_285220
OG0000405	PF3D7_0917700	TGME49_215090
OG0000406	PF3D7_1463900	TGME49_230350
OG0000407	PF3D7_0309800	TGME49_204070
OG0000408	PF3D7_1367100	TGME49_205180
