Orthogroup	Pfalciparum	Tgondii	Total
OG0000081	2	2	4
OG0000082	2	2	4
OG0000083	2	2	4
OG0000084	2	2	4
OG0000085	1	3	4
OG0000086	2	2	4
OG0000087	1	3	4
OG0000088	1	3	4
OG0000089	1	3	4
OG0000090	2	2	4
OG0000091	1	3	4
OG0000092	1	3	4
OG0000093	1	3	4
OG0000094	1	3	4
OG0000095	1	3	4
OG0000096	1	2	3
OG0000097	1	2	3
OG0000098	1	2	3
OG0000099	1	2	3
OG0000100	2	1	3
OG0000101	1	2	3
OG0000102	2	1	3
OG0000103	1	2	3
OG0000104	2	1	3
OG0000105	2	1	3
OG0000106	2	1	3
OG0000107	2	1	3
OG0000108	1	2	3
OG0000109	2	1	3
OG0000110	1	2	3
OG0000111	1	2	3
OG0000112	1	2	3
OG0000113	2	1	3
OG0000114	1	2	3
OG0000115	1	2	3
OG0000116	1	2	3
OG0000117	2	1	3
OG0000118	2	1	3
OG0000119	1	2	3
OG0000120	1	2	3
OG0000121	2	1	3
OG0000122	2	1	3
OG0000123	1	2	3
OG0000124	2	1	3
OG0000125	2	1	3
OG0000126	2	1	3
OG0000127	1	2	3
OG0000128	2	1	3
OG0000129	2	1	3
OG0000130	2	1	3
OG0000131	2	1	3
OG0000132	1	2	3
OG0000133	1	2	3
OG0000134	1	2	3
OG0000135	2	1	3
OG0000136	2	1	3
OG0000137	2	1	3
OG0000138	2	1	3
OG0000139	1	2	3
OG0000140	1	2	3
OG0000141	2	1	3
OG0000142	1	2	3
OG0000143	1	2	3
OG0000144	2	1	3
OG0000145	2	1	3
OG0000146	2	1	3
OG0000147	2	1	3
OG0000148	2	1	3
OG0000149	2	1	3
OG0000150	2	1	3
OG0000151	2	1	3
OG0000152	1	2	3
OG0000153	1	2	3
OG0000154	1	2	3
OG0000155	1	2	3
OG0000156	1	2	3
OG0000157	2	1	3
OG0000158	2	1	3
OG0000159	1	2	3
OG0000160	2	1	3
OG0000161	2	1	3
OG0000162	2	1	3
OG0000163	1	2	3
OG0000164	2	1	3
OG0000165	2	1	3
OG0000166	1	2	3
OG0000167	2	1	3
OG0000168	2	1	3
OG0000169	2	1	3
OG0000170	2	1	3
OG0000171	1	2	3
OG0000172	1	2	3
OG0000173	1	2	3
OG0000174	1	2	3
OG0000175	1	2	3
OG0000176	1	2	3
OG0000177	2	1	3
OG0000178	2	1	3
OG0000179	1	2	3
OG0000180	1	2	3
OG0000181	2	1	3
OG0000182	1	2	3
OG0000183	1	2	3
OG0000184	2	1	3
OG0000185	1	2	3
OG0000186	1	2	3
OG0000187	1	2	3
OG0000188	1	2	3
OG0000189	1	2	3
OG0000190	1	2	3
OG0000191	1	2	3
OG0000192	1	2	3
OG0000193	2	1	3
OG0000194	1	2	3
OG0000195	2	1	3
OG0000196	1	2	3
OG0000197	1	2	3
OG0000198	1	2	3
OG0000199	1	2	3
OG0000200	1	2	3
OG0000201	2	1	3
OG0000202	1	2	3
OG0000203	1	2	3
OG0000204	1	2	3
OG0000205	1	2	3
OG0000206	1	2	3
OG0000207	1	2	3
OG0000208	1	2	3
OG0000209	1	2	3
OG0000210	2	1	3
OG0000211	2	1	3
OG0000212	1	2	3
OG0000213	2	1	3
OG0000214	1	2	3
OG0000215	1	2	3
OG0000216	2	1	3
OG0000217	1	2	3
OG0000218	1	2	3
OG0000219	1	2	3
OG0000220	1	2	3
OG0000221	1	2	3
OG0000222	1	2	3
OG0000223	1	2	3
OG0000224	1	2	3
OG0000225	1	2	3
OG0000226	1	2	3
OG0000227	1	2	3
OG0000228	1	2	3
OG0000229	1	2	3
OG0000230	1	2	3
OG0000231	1	2	3
OG0000232	1	2	3
OG0000233	1	2	3
OG0000234	1	2	3
OG0000235	1	2	3
OG0000236	1	2	3
OG0000237	1	2	3
OG0000238	1	2	3
OG0000239	2	1	3
OG0000240	1	2	3
OG0000241	1	1	2
OG0000242	1	1	2
OG0000243	1	1	2
OG0000244	1	1	2
OG0000245	1	1	2
OG0000246	1	1	2
OG0000247	1	1	2
OG0000248	1	1	2
OG0000249	1	1	2
OG0000250	1	1	2
OG0000251	1	1	2
OG0000252	1	1	2
OG0000253	1	1	2
OG0000254	1	1	2
OG0000255	1	1	2
OG0000256	1	1	2
OG0000257	1	1	2
OG0000258	1	1	2
OG0000259	1	1	2
OG0000260	1	1	2
OG0000261	1	1	2
OG0000262	1	1	2
OG0000263	1	1	2
OG0000264	1	1	2
OG0000265	1	1	2
OG0000266	1	1	2
OG0000267	1	1	2
OG0000268	1	1	2
OG0000269	1	1	2
OG0000270	1	1	2
OG0000271	1	1	2
OG0000272	1	1	2
OG0000273	1	1	2
OG0000274	1	1	2
OG0000275	1	1	2
OG0000276	1	1	2
OG0000277	1	1	2
OG0000278	1	1	2
OG0000279	1	1	2
OG0000280	1	1	2
OG0000281	1	1	2
OG0000282	1	1	2
OG0000283	1	1	2
OG0000284	1	1	2
OG0000285	1	1	2
OG0000286	1	1	2
OG0000287	1	1	2
OG0000288	1	1	2
OG0000289	1	1	2
OG0000290	1	1	2
OG0000291	1	1	2
OG0000292	1	1	2
OG0000293	1	1	2
OG0000294	1	1	2
OG0000295	1	1	2
OG0000296	1	1	2
OG0000297	1	1	2
OG0000298	1	1	2
OG0000299	1	1	2
OG0000300	1	1	2
OG0000301	1	1	2
OG0000302	1	1	2
OG0000303	1	1	2
OG0000304	1	1	2
OG0000305	1	1	2
OG0000306	1	1	2
OG0000307	1	1	2
OG0000308	1	1	2
OG0000309	1	1	2
OG0000310	1	1	2
OG0000311	1	1	2
OG0000312	1	1	2
OG0000313	1	1	2
OG0000314	1	1	2
OG0000315	1	1	2
OG0000316	1	1	2
OG0000317	1	1	2
OG0000318	1	1	2
OG0000319	1	1	2
OG0000320	1	1	2
OG0000321	1	1	2
OG0000322	1	1	2
OG0000323	1	1	2
OG0000324	1	1	2
OG0000325	1	1	2
OG0000326	1	1	2
OG0000327	1	1	2
OG0000328	1	1	2
OG0000329	1	1	2
OG0000330	1	1	2
OG0000331	1	1	2
OG0000332	1	1	2
OG0000333	1	1	2
OG0000334	1	1	2
OG0000335	1	1	2
OG0000336	1	1	2
OG0000337	1	1	2
OG0000338	1	1	2
OG0000339	1	1	2
OG0000340	1	1	2
OG0000341	1	1	2
OG0000342	1	1	2
OG0000343	1	1	2
OG0000344	1	1	2
OG0000345	1	1	2
OG0000346	1	1	2
OG0000347	1	1	2
OG0000348	1	1	2
OG0000349	1	1	2
OG0000350	1	1	2
OG0000351	1	1	2
OG0000352	1	1	2
OG0000353	1	1	2
OG0000354	1	1	2
OG0000355	1	1	2
OG0000356	1	1	2
OG0000357	1	1	2
OG0000358	1	1	2
OG0000359	1	1	2
OG0000360	1	1	2
OG0000361	1	1	2
OG0000362	1	1	2
OG0000363	1	1	2
OG0000364	1	1	2
OG0000365	1	1	2
OG0000366	1	1	2
OG0000367	1	1	2
OG0000368	1	1	2
OG0000369	1	1	2
OG0000370	1	1	2
OG0000371	1	1	2
OG0000372	1	1	2
OG0000373	1	1	2
OG0000374	1	1	2
OG0000375	1	1	2
OG0000376	1	1	2
OG0000377	1	1	2
OG0000378	1	1	2
OG0000379	1	1	2
OG0000380	1	1	2
OG0000381	1	1	2
OG0000382	1	1	2
OG0000383	1	1	2
OG0000384	1	1	2
OG0000385	1	1	2
OG0000386	1	1	2
OG0000387	1	1	2
OG0000388	1	1	2
OG0000389	1	1	2
OG0000390	1	1	2
OG0000391	1	1	2
OG0000392	1	1	2
OG0000393	1	1	2
OG0000394	1	1	2
OG0000395	1	1	2
OG0000396	1	1	2
OG0000397	1	1	2
OG0000398	1	1	2
OG0000399	1	1	2
OG0000400	1	1	2
OG0000401	1	1	2
OG0000402	1	1	2
OG0000403	1	1	2
OG0000404	1	1	2
OG0000405	1	1	2
OG0000406	1	1	2
OG0000407	1	1	2
OG0000408	1	1	2
OG0000409	1	1	2
OG0000410	1	1	2
OG0000411	1	1	2
OG0000412	1	1	2
OG0000413	1	1	2
OG0000414	1	1	2
OG0000415	1	1	2
OG0000416	1	1	2
OG0000417	1	1	2
OG0000418	1	1	2
OG0000419	1	1	2
OG0000420	1	1	2
OG0000421	1	1	2
OG0000422	1	1	2
OG0000423	1	1	2
OG0000424	1	1	2
OG0000425	1	1	2
OG0000426	1	1	2
OG0000427	1	1	2
OG0000428	1	1	2
OG0000429	1	1	2
OG0000430	1	1	2
OG0000431	1	1	2
OG0000432	1	1	2
OG0000433	1	1	2
OG0000434	1	1	2
OG0000435	1	1	2
OG0000436	1	1	2
OG0000437	1	1	2
OG0000438	1	1	2
OG0000439	1	1	2
OG0000440	1	1	2
OG0000441	1	1	2
OG0000442	1	1	2
OG0000443	1	1	2
OG0000444	1	1	2
OG0000445	1	1	2
OG0000446	1	1	2
OG0000447	1	1	2
OG0000448	1	1	2
OG0000449	1	1	2
OG0000450	1	1	2
OG0000451	1	1	2
OG0000452	1	1	2
OG0000453	1	1	2
OG0000454	1	1	2
OG0000455	1	1	2
OG0000456	1	1	2
OG0000457	1	1	2
OG0000458	1	1	2
OG0000459	1	1	2
OG0000460	1	1	2
OG0000461	1	1	2
OG0000462	1	1	2
OG0000463	1	1	2
OG0000464	1	1	2
OG0000465	1	1	2
OG0000466	1	1	2
OG0000467	1	1	2
OG0000468	1	1	2
OG0000469	1	1	2
OG0000470	1	1	2
OG0000471	1	1	2
OG0000472	1	1	2
OG0000473	1	1	2
OG0000474	1	1	2
OG0000475	1	1	2
OG0000476	1	1	2
OG0000477	1	1	2
OG0000478	1	1	2
OG0000479	1	1	2
OG0000480	1	1	2
OG0000481	1	1	2
OG0000482	1	1	2
OG0000483	1	1	2
OG0000484	1	1	2
OG0000485	1	1	2
OG0000486	1	1	2
OG0000487	1	1	2
OG0000488	1	1	2
OG0000489	1	1	2
OG0000490	1	1	2
OG0000491	1	1	2
OG0000492	1	1	2
OG0000493	1	1	2
OG0000494	1	1	2
OG0000495	1	1	2
OG0000496	1	1	2
OG0000497	1	1	2
OG0000498	1	1	2
OG0000499	1	1	2
OG0000500	1	1	2
OG0000501	1	1	2
OG0000502	1	1	2
OG0000503	1	1	2
OG0000504	1	1	2
OG0000505	1	1	2
OG0000506	1	1	2
OG0000507	1	1	2
OG0000508	1	1	2
OG0000509	1	1	2
OG0000510	1	1	2
OG0000511	1	1	2
OG0000512	1	1	2
OG0000513	1	1	2
OG0000514	1	1	2
OG0000515	1	1	2
OG0000516	1	1	2
OG0000517	1	1	2
OG0000518	1	1	2
OG0000519	1	1	2
OG0000520	1	1	2
OG0000521	1	1	2
OG0000522	1	1	2
OG0000523	1	1	2
OG0000524	1	1	2
OG0000525	1	1	2
OG0000526	1	1	2
OG0000527	1	1	2
OG0000528	1	1	2
OG0000529	1	1	2
OG0000530	1	1	2
OG0000531	1	1	2
OG0000532	1	1	2
OG0000533	1	1	2
OG0000534	1	1	2
OG0000535	1	1	2
OG0000536	1	1	2
OG0000537	1	1	2
OG0000538	1	1	2
OG0000539	1	1	2
OG0000540	1	1	2
OG0000541	1	1	2
OG0000542	1	1	2
OG0000543	1	1	2
OG0000544	1	1	2
OG0000545	1	1	2
OG0000546	1	1	2
OG0000547	1	1	2
OG0000548	1	1	2
OG0000549	1	1	2
OG0000550	1	1	2
OG0000551	1	1	2
OG0000552	1	1	2
OG0000553	1	1	2
OG0000554	1	1	2
OG0000555	1	1	2
OG0000556	1	1	2
OG0000557	1	1	2
OG0000558	1	1	2
OG0000559	1	1	2
OG0000560	1	1	2
OG0000561	1	1	2
OG0000562	1	1	2
OG0000563	1	1	2
OG0000564	1	1	2
OG0000565	1	1	2
OG0000566	1	1	2
OG0000567	1	1	2
OG0000568	1	1	2
OG0000569	1	1	2
OG0000570	1	1	2
OG0000571	1	1	2
OG0000572	1	1	2
OG0000573	1	1	2
OG0000574	1	1	2
OG0000575	1	1	2
OG0000576	1	1	2
OG0000577	1	1	2
OG0000578	1	1	2
OG0000579	1	1	2
OG0000580	1	1	2
OG0000581	1	1	2
OG0000582	1	1	2
OG0000583	1	1	2
OG0000584	1	1	2
OG0000585	1	1	2
OG0000586	1	1	2
OG0000587	1	1	2
OG0000588	1	1	2
OG0000589	1	1	2
OG0000590	1	1	2
OG0000591	1	1	2
OG0000592	1	1	2
OG0000593	1	1	2
OG0000594	1	1	2
OG0000595	1	1	2
OG0000596	1	1	2
OG0000597	1	1	2
OG0000598	1	1	2
OG0000599	1	1	2
OG0000600	1	1	2
OG0000601	1	1	2
OG0000602	1	1	2
OG0000603	1	1	2
OG0000604	1	1	2
OG0000605	1	1	2
OG0000606	1	1	2
OG0000607	1	1	2
OG0000608	1	1	2
OG0000609	1	1	2
OG0000610	1	1	2
OG0000611	1	1	2
OG0000612	1	1	2
OG0000613	1	1	2
OG0000614	1	1	2
OG0000615	1	1	2
OG0000616	1	1	2
OG0000617	1	1	2
OG0000618	1	1	2
OG0000619	1	1	2
OG0000620	1	1	2
OG0000621	1	1	2
OG0000622	1	1	2
OG0000623	1	1	2
OG0000624	1	1	2
OG0000625	1	1	2
OG0000626	1	1	2
OG0000627	1	1	2
OG0000628	1	1	2
OG0000629	1	1	2
OG0000630	1	1	2
OG0000631	1	1	2
OG0000632	1	1	2
OG0000633	1	1	2
OG0000634	1	1	2
OG0000635	1	1	2
OG0000636	1	1	2
OG0000637	1	1	2
OG0000638	1	1	2
OG0000639	1	1	2
OG0000640	1	1	2
OG0000641	1	1	2
OG0000642	1	1	2
OG0000643	1	1	2
OG0000644	1	1	2
OG0000645	1	1	2
OG0000646	1	1	2
OG0000647	1	1	2
OG0000648	1	1	2
OG0000649	1	1	2
OG0000650	1	1	2
OG0000651	1	1	2
OG0000652	1	1	2
OG0000653	1	1	2
OG0000654	1	1	2
OG0000655	1	1	2
OG0000656	1	1	2
OG0000657	1	1	2
OG0000658	1	1	2
OG0000659	1	1	2
OG0000660	1	1	2
OG0000661	1	1	2
OG0000662	1	1	2
OG0000663	1	1	2
OG0000664	1	1	2
OG0000665	1	1	2
OG0000666	1	1	2
OG0000667	1	1	2
OG0000668	1	1	2
OG0000669	1	1	2
OG0000670	1	1	2
OG0000671	1	1	2
OG0000672	1	1	2
OG0000673	1	1	2
OG0000674	1	1	2
OG0000675	1	1	2
OG0000676	1	1	2
OG0000677	1	1	2
OG0000678	1	1	2
OG0000679	1	1	2
OG0000680	1	1	2
OG0000681	1	1	2
OG0000682	1	1	2
OG0000683	1	1	2
OG0000684	1	1	2
OG0000685	1	1	2
OG0000686	1	1	2
OG0000687	1	1	2
OG0000688	1	1	2
OG0000689	1	1	2
OG0000690	1	1	2
OG0000691	1	1	2
OG0000692	1	1	2
OG0000693	1	1	2
OG0000694	1	1	2
OG0000695	1	1	2
OG0000696	1	1	2
OG0000697	1	1	2
OG0000698	1	1	2
OG0000699	1	1	2
OG0000700	1	1	2
OG0000701	1	1	2
OG0000702	1	1	2
OG0000703	1	1	2
OG0000704	1	1	2
OG0000705	1	1	2
OG0000706	1	1	2
OG0000707	1	1	2
OG0000708	1	1	2
OG0000709	1	1	2
OG0000710	1	1	2
OG0000711	1	1	2
OG0000712	1	1	2
OG0000713	1	1	2
OG0000714	1	1	2
OG0000715	1	1	2
OG0000716	1	1	2
OG0000717	1	1	2
OG0000718	1	1	2
OG0000719	1	1	2
OG0000720	1	1	2
OG0000721	1	1	2
OG0000722	1	1	2
OG0000723	1	1	2
OG0000724	1	1	2
OG0000725	1	1	2
OG0000726	1	1	2
OG0000727	1	1	2
OG0000728	1	1	2
OG0000729	1	1	2
OG0000730	1	1	2
OG0000731	1	1	2
OG0000732	1	1	2
OG0000733	1	1	2
OG0000734	1	1	2
OG0000735	1	1	2
OG0000736	1	1	2
OG0000737	1	1	2
OG0000738	1	1	2
OG0000739	1	1	2
OG0000740	1	1	2
OG0000741	1	1	2
OG0000742	1	1	2
OG0000743	1	1	2
OG0000744	1	1	2
OG0000745	1	1	2
OG0000746	1	1	2
OG0000747	1	1	2
OG0000748	1	1	2
OG0000749	1	1	2
OG0000750	1	1	2
OG0000751	1	1	2
OG0000752	1	1	2
OG0000753	1	1	2
OG0000754	1	1	2
OG0000755	1	1	2
OG0000756	1	1	2
OG0000757	1	1	2
OG0000758	1	1	2
OG0000759	1	1	2
OG0000760	1	1	2
OG0000761	1	1	2
OG0000762	1	1	2
OG0000763	1	1	2
OG0000764	1	1	2
OG0000765	1	1	2
OG0000766	1	1	2
OG0000767	1	1	2
OG0000768	1	1	2
OG0000769	1	1	2
OG0000770	1	1	2
OG0000771	1	1	2
OG0000772	1	1	2
OG0000773	1	1	2
OG0000774	1	1	2
OG0000775	1	1	2
OG0000776	1	1	2
OG0000777	1	1	2
OG0000778	1	1	2
OG0000779	1	1	2
OG0000780	1	1	2
OG0000781	1	1	2
OG0000782	1	1	2
OG0000783	1	1	2
OG0000784	1	1	2
OG0000785	1	1	2
OG0000786	1	1	2
OG0000787	1	1	2
OG0000788	1	1	2
OG0000789	1	1	2
OG0000790	1	1	2
OG0000791	1	1	2
OG0000792	1	1	2
OG0000793	1	1	2
OG0000794	1	1	2
OG0000795	1	1	2
OG0000796	1	1	2
OG0000797	1	1	2
OG0000798	1	1	2
OG0000799	1	1	2
OG0000800	1	1	2
OG0000801	1	1	2
OG0000802	1	1	2
OG0000803	1	1	2
OG0000804	1	1	2
OG0000805	1	1	2
OG0000806	1	1	2
OG0000807	1	1	2
OG0000808	1	1	2
OG0000809	1	1	2
OG0000810	1	1	2
OG0000811	1	1	2
OG0000812	1	1	2
OG0000813	1	1	2
OG0000814	1	1	2
OG0000815	1	1	2
OG0000816	1	1	2
OG0000817	1	1	2
OG0000818	1	1	2
OG0000819	1	1	2
OG0000820	1	1	2
OG0000821	1	1	2
OG0000822	1	1	2
OG0000823	1	1	2
OG0000824	1	1	2
OG0000825	1	1	2
OG0000826	1	1	2
OG0000827	1	1	2
OG0000828	1	1	2
OG0000829	1	1	2
OG0000830	1	1	2
OG0000831	1	1	2
OG0000832	1	1	2
OG0000833	1	1	2
OG0000834	1	1	2
OG0000835	1	1	2
OG0000836	1	1	2
OG0000837	1	1	2
OG0000838	1	1	2
OG0000839	1	1	2
OG0000840	1	1	2
OG0000841	1	1	2
OG0000842	1	1	2
OG0000843	1	1	2
OG0000844	1	1	2
OG0000845	1	1	2
OG0000846	1	1	2
OG0000847	1	1	2
OG0000848	1	1	2
OG0000849	1	1	2
OG0000850	1	1	2
OG0000851	1	1	2
OG0000852	1	1	2
OG0000853	1	1	2
OG0000854	1	1	2
OG0000855	1	1	2
OG0000856	1	1	2
OG0000857	1	1	2
OG0000858	1	1	2
OG0000859	1	1	2
OG0000860	1	1	2
OG0000861	1	1	2
OG0000862	1	1	2
OG0000863	1	1	2
OG0000864	1	1	2
OG0000865	1	1	2
OG0000866	1	1	2
OG0000867	1	1	2
OG0000868	1	1	2
OG0000869	1	1	2
OG0000870	1	1	2
OG0000871	1	1	2
OG0000872	1	1	2
OG0000873	1	1	2
OG0000874	1	1	2
OG0000875	1	1	2
OG0000876	1	1	2
OG0000877	1	1	2
OG0000878	1	1	2
OG0000879	1	1	2
OG0000880	1	1	2
OG0000881	1	1	2
OG0000882	1	1	2
OG0000883	1	1	2
OG0000884	1	1	2
OG0000885	1	1	2
OG0000886	1	1	2
OG0000887	1	1	2
OG0000888	1	1	2
OG0000889	1	1	2
OG0000890	1	1	2
OG0000891	1	1	2
OG0000892	1	1	2
OG0000893	1	1	2
OG0000894	1	1	2
OG0000895	1	1	2
OG0000896	1	1	2
OG0000897	1	1	2
OG0000898	1	1	2
OG0000899	1	1	2
OG0000900	1	1	2
OG0000901	1	1	2
OG0000902	1	1	2
OG0000903	1	1	2
OG0000904	1	1	2
OG0000905	1	1	2
OG0000906	1	1	2
OG0000907	1	1	2
OG0000908	1	1	2
OG0000909	1	1	2
OG0000910	1	1	2
OG0000911	1	1	2
OG0000912	1	1	2
OG0000913	1	1	2
OG0000914	1	1	2
OG0000915	1	1	2
OG0000916	1	1	2
OG0000917	1	1	2
OG0000918	1	1	2
OG0000919	1	1	2
OG0000920	1	1	2
OG0000921	1	1	2
OG0000922	1	1	2
OG0000923	1	1	2
OG0000924	1	1	2
OG0000925	1	1	2
OG0000926	1	1	2
OG0000927	1	1	2
OG0000928	1	1	2
OG0000929	1	1	2
OG0000930	1	1	2
OG0000931	1	1	2
OG0000932	1	1	2
OG0000933	1	1	2
OG0000934	1	1	2
OG0000935	1	1	2
OG0000936	1	1	2
OG0000937	1	1	2
OG0000938	1	1	2
OG0000939	1	1	2
OG0000940	1	1	2
OG0000941	1	1	2
OG0000942	1	1	2
OG0000943	1	1	2
OG0000944	1	1	2
OG0000945	1	1	2
OG0000946	1	1	2
OG0000947	1	1	2
OG0000948	1	1	2
OG0000949	1	1	2
OG0000950	1	1	2
OG0000951	1	1	2
OG0000952	1	1	2
OG0000953	1	1	2
OG0000954	1	1	2
OG0000955	1	1	2
OG0000956	1	1	2
OG0000957	1	1	2
OG0000958	1	1	2
OG0000959	1	1	2
OG0000960	1	1	2
OG0000961	1	1	2
OG0000962	1	1	2
OG0000963	1	1	2
OG0000964	1	1	2
OG0000965	1	1	2
OG0000966	1	1	2
OG0000967	1	1	2
OG0000968	1	1	2
OG0000969	1	1	2
OG0000970	1	1	2
OG0000971	1	1	2
OG0000972	1	1	2
OG0000973	1	1	2
OG0000974	1	1	2
OG0000975	1	1	2
OG0000976	1	1	2
OG0000977	1	1	2
OG0000978	1	1	2
OG0000979	1	1	2
OG0000980	1	1	2
OG0000981	1	1	2
OG0000982	1	1	2
OG0000983	1	1	2
OG0000984	1	1	2
OG0000985	1	1	2
OG0000986	1	1	2
OG0000987	1	1	2
OG0000988	1	1	2
OG0000989	1	1	2
OG0000990	1	1	2
OG0000991	1	1	2
OG0000992	1	1	2
OG0000993	1	1	2
OG0000994	1	1	2
OG0000995	1	1	2
OG0000996	1	1	2
OG0000997	1	1	2
OG0000998	1	1	2
OG0000999	1	1	2
OG0001000	1	1	2
OG0001001	1	1	2
OG0001002	1	1	2
OG0001003	1	1	2
OG0001004	1	1	2
OG0001005	1	1	2
OG0001006	1	1	2
OG0001007	1	1	2
OG0001008	1	1	2
OG0001009	1	1	2
OG0001010	1	1	2
OG0001011	1	1	2
OG0001012	1	1	2
OG0001013	1	1	2
OG0001014	1	1	2
OG0001015	1	1	2
OG0001016	1	1	2
OG0001017	1	1	2
OG0001018	1	1	2
OG0001019	1	1	2
OG0001020	1	1	2
OG0001021	1	1	2
OG0001022	1	1	2
OG0001023	1	1	2
OG0001024	1	1	2
OG0001025	1	1	2
OG0001026	1	1	2
OG0001027	1	1	2
OG0001028	1	1	2
OG0001029	1	1	2
OG0001030	1	1	2
OG0001031	1	1	2
OG0001032	1	1	2
OG0001033	1	1	2
OG0001034	1	1	2
OG0001035	1	1	2
OG0001036	1	1	2
OG0001037	1	1	2
OG0001038	1	1	2
OG0001039	1	1	2
OG0001040	1	1	2
OG0001041	1	1	2
OG0001042	1	1	2
OG0001043	1	1	2
OG0001044	1	1	2
OG0001045	1	1	2
OG0001046	1	1	2
OG0001047	1	1	2
OG0001048	1	1	2
OG0001049	1	1	2
OG0001050	1	1	2
OG0001051	1	1	2
OG0001052	1	1	2
OG0001053	1	1	2
OG0001054	1	1	2
OG0001055	1	1	2
OG0001056	1	1	2
OG0001057	1	1	2
OG0001058	1	1	2
OG0001059	1	1	2
OG0001060	1	1	2
OG0001061	1	1	2
OG0001062	1	1	2
OG0001063	1	1	2
OG0001064	1	1	2
OG0001065	1	1	2
OG0001066	1	1	2
OG0001067	1	1	2
OG0001068	1	1	2
OG0001069	1	1	2
OG0001070	1	1	2
OG0001071	1	1	2
OG0001072	1	1	2
OG0001073	1	1	2
OG0001074	1	1	2
OG0001075	1	1	2
OG0001076	1	1	2
OG0001077	1	1	2
OG0001078	1	1	2
OG0001079	1	1	2
OG0001080	1	1	2
OG0001081	1	1	2
OG0001082	1	1	2
OG0001083	1	1	2
OG0001084	1	1	2
OG0001085	1	1	2
OG0001086	1	1	2
OG0001087	1	1	2
OG0001088	1	1	2
OG0001089	1	1	2
OG0001090	1	1	2
OG0001091	1	1	2
OG0001092	1	1	2
OG0001093	1	1	2
OG0001094	1	1	2
OG0001095	1	1	2
OG0001096	1	1	2
OG0001097	1	1	2
OG0001098	1	1	2
OG0001099	1	1	2
OG0001100	1	1	2
OG0001101	1	1	2
OG0001102	1	1	2
OG0001103	1	1	2
OG0001104	1	1	2
OG0001105	1	1	2
OG0001106	1	1	2
OG0001107	1	1	2
OG0001108	1	1	2
OG0001109	1	1	2
OG0001110	1	1	2
OG0001111	1	1	2
OG0001112	1	1	2
OG0001113	1	1	2
OG0001114	1	1	2
OG0001115	1	1	2
OG0001116	1	1	2
OG0001117	1	1	2
OG0001118	1	1	2
OG0001119	1	1	2
OG0001120	1	1	2
OG0001121	1	1	2
OG0001122	1	1	2
OG0001123	1	1	2
OG0001124	1	1	2
OG0001125	1	1	2
OG0001126	1	1	2
OG0001127	1	1	2
OG0001128	1	1	2
OG0001129	1	1	2
OG0001130	1	1	2
OG0001131	1	1	2
OG0001132	1	1	2
OG0001133	1	1	2
OG0001134	1	1	2
OG0001135	1	1	2
OG0001136	1	1	2
OG0001137	1	1	2
OG0001138	1	1	2
OG0001139	1	1	2
OG0001140	1	1	2
OG0001141	1	1	2
OG0001142	1	1	2
OG0001143	1	1	2
OG0001144	1	1	2
OG0001145	1	1	2
OG0001146	1	1	2
OG0001147	1	1	2
OG0001148	1	1	2
OG0001149	1	1	2
OG0001150	1	1	2
OG0001151	1	1	2
OG0001152	1	1	2
OG0001153	1	1	2
OG0001154	1	1	2
OG0001155	1	1	2
OG0001156	1	1	2
OG0001157	1	1	2
OG0001158	1	1	2
OG0001159	1	1	2
OG0001160	1	1	2
OG0001161	1	1	2
