Orthogroup	Bpertussis	Ecoli
OG0001538	BP0359	
OG0001539	BP0360	
OG0001540	BP0361	
OG0001541	BP0363	
OG0001542	BP0364	
OG0001543	BP0365	
OG0001544	BP0369	
OG0001545	BP0371	
OG0001546	BP0372	
OG0001547	BP0373	
OG0001548	BP0382	
OG0001549	BP0385	
OG0001550	BP0386	
OG0001551	BP0391	
OG0001552	BP0392	
OG0001553	BP0396	
OG0001554	BP0401	
OG0001555	BP0403	
OG0001556	BP0405	
OG0001557	BP0408	
OG0001558	BP0410	
OG0001559	BP0411	
OG0001560	BP0412	
OG0001561	BP0416	
OG0001562	BP0417	
OG0001563	BP0418	
OG0001564	BP0419	
OG0001565	BP0420	
OG0001566	BP0421	
OG0001567	BP0424	
OG0001568	BP0425	
OG0001569	BP0426	
OG0001570	BP0427	
OG0001571	BP0428	
OG0001572	BP0429	
OG0001573	BP0430	
OG0001574	BP0431	
OG0001575	BP0433	
OG0001576	BP0435	
OG0001577	BP0438	
OG0001578	BP0439	
OG0001579	BP0441	
OG0001580	BP0442	
OG0001581	BP0443	
OG0001582	BP0447	
OG0001583	BP0448	
OG0001584	BP0449	
OG0001585	BP0450	
OG0001586	BP0452	
OG0001587	BP0453	
OG0001588	BP0454	
OG0001589	BP0455	
OG0001590	BP0456	
OG0001591	BP0459	
OG0001592	BP0461	
OG0001593	BP0462	
OG0001594	BP0463	
OG0001595	BP0465	
OG0001596	BP0466	
OG0001597	BP0467	
OG0001598	BP0468	
OG0001599	BP0470	
OG0001600	BP0473	
OG0001601	BP0474	
OG0001602	BP0478	
OG0001603	BP0481	
OG0001604	BP0486	
OG0001605	BP0487	
OG0001606	BP0488	
OG0001607	BP0496	
OG0001608	BP0498	
OG0001609	BP0499	
OG0001610	BP0500	
OG0001611	BP0503	
OG0001612	BP0504	
OG0001613	BP0505	
OG0001614	BP0506	
OG0001615	BP0507	
OG0001616	BP0508	
OG0001617	BP0510	
OG0001618	BP0511	
OG0001619	BP0513	
OG0001620	BP0514	
OG0001621	BP0515	
OG0001622	BP0517	
OG0001623	BP0518	
OG0001624	BP0519	
OG0001625	BP0520	
OG0001626	BP0522	
OG0001627	BP0523	
OG0001628	BP0526	
OG0001629	BP0527	
OG0001630	BP0530	
OG0001631	BP0531	
OG0001632	BP0532	
OG0001633	BP0533	
OG0001634	BP0534	
OG0001635	BP0535	
OG0001636	BP0537	
OG0001637	BP0538	
OG0001638	BP0539	
OG0001639	BP0540	
OG0001640	BP0541	
OG0001641	BP0542	
OG0001642	BP0543	
OG0001643	BP0544	
OG0001644	BP0546	
OG0001645	BP0547	
OG0001646	BP0548	
OG0001647	BP0549	
OG0001648	BP0550	
OG0001649	BP0553	
OG0001650	BP0554	
OG0001651	BP0557	
OG0001652	BP0558	
OG0001653	BP0559	
OG0001654	BP0561	
OG0001655	BP0562	
OG0001656	BP0565	
OG0001657	BP0566	
OG0001658	BP0567	
OG0001659	BP0568	
OG0001660	BP0570	
OG0001661	BP0571	
OG0001662	BP0572	
OG0001663	BP0575	
OG0001664	BP0577	
OG0001665	BP0578	
OG0001666	BP0579	
OG0001667	BP0581	
OG0001668	BP0582	
OG0001669	BP0583	
OG0001670	BP0584	
OG0001671	BP0589	
OG0001672	BP0590	
OG0001673	BP0591	
OG0001674	BP0592	
OG0001675	BP0593	
OG0001676	BP0594	
OG0001677	BP0595	
OG0001678	BP0596	
OG0001679	BP0597	
OG0001680	BP0599	
OG0001681	BP0611	
OG0001682	BP0612	
OG0001683	BP0613	
OG0001684	BP0615	
OG0001685	BP0616	
OG0001686	BP0618	
OG0001687	BP0619	
OG0001688	BP0620	
OG0001689	BP0621	
OG0001690	BP0622	
OG0001691	BP0627	
OG0001692	BP0628	
OG0001693	BP0629	
OG0001694	BP0630	
OG0001695	BP0633	
OG0001696	BP0634	
OG0001697	BP0635	
OG0001698	BP0636	
OG0001699	BP0637	
OG0001700	BP0638	
OG0001701	BP0639	
OG0001702	BP0640	
OG0001703	BP0641	
OG0001704	BP0642	
OG0001705	BP0643	
OG0001706	BP0644	
OG0001707	BP0645	
OG0001708	BP0646	
OG0001709	BP0647	
OG0001710	BP0649	
OG0001711	BP0650	
OG0001712	BP0652	
OG0001713	BP0653	
OG0001714	BP0654	
OG0001715	BP0656	
OG0001716	BP0657	
OG0001717	BP0658	
OG0001718	BP0660	
OG0001719	BP0661	
OG0001720	BP0662	
OG0001721	BP0663	
OG0001722	BP0664	
OG0001723	BP0665	
OG0001724	BP0667	
OG0001725	BP0668	
OG0001726	BP0670	
OG0001727	BP0671	
OG0001728	BP0672	
OG0001729	BP0673	
OG0001730	BP0674	
OG0001731	BP0676	
OG0001732	BP0682	
OG0001733	BP0683	
OG0001734	BP0688	
OG0001735	BP0692	
OG0001736	BP0693	
OG0001737	BP0698	
OG0001738	BP0699	
OG0001739	BP0704	
OG0001740	BP0706	
OG0001741	BP0707	
OG0001742	BP0708	
OG0001743	BP0710	
OG0001744	BP0711	
OG0001745	BP0712	
OG0001746	BP0716	
OG0001747	BP0720	
OG0001748	BP0721	
OG0001749	BP0722	
OG0001750	BP0723	
OG0001751	BP0724	
OG0001752	BP0725	
OG0001753	BP0726	
OG0001754	BP0727	
OG0001755	BP0728	
OG0001756	BP0729	
OG0001757	BP0731	
OG0001758	BP0732	
OG0001759	BP0733	
OG0001760	BP0736	
OG0001761	BP0737	
OG0001762	BP0739	
OG0001763	BP0740	
OG0001764	BP0741	
OG0001765	BP0744	
OG0001766	BP0745	
OG0001767	BP0750	
OG0001768	BP0753	
OG0001769	BP0754	
OG0001770	BP0755	
OG0001771	BP0757	
OG0001772	BP0758	
OG0001773	BP0760	
OG0001774	BP0761	
OG0001775	BP0762	
OG0001776	BP0763	
OG0001777	BP0764	
OG0001778	BP0767	
OG0001779	BP0769	
OG0001780	BP0770	
OG0001781	BP0771	
OG0001782	BP0772	
OG0001783	BP0773	
OG0001784	BP0775	
OG0001785	BP0776	
OG0001786	BP0777	
OG0001787	BP0778	
OG0001788	BP0779	
OG0001789	BP0780	
OG0001790	BP0781	
OG0001791	BP0782	
OG0001792	BP0783	
OG0001793	BP0784	
OG0001794	BP0785	
OG0001795	BP0786	
OG0001796	BP0792	
OG0001797	BP0793	
OG0001798	BP0796	
OG0001799	BP0797	
OG0001800	BP0799	
OG0001801	BP0800	
OG0001802	BP0805	
OG0001803	BP0806	
OG0001804	BP0807	
OG0001805	BP0808	
OG0001806	BP0810	
OG0001807	BP0812	
OG0001808	BP0813	
OG0001809	BP0816	
OG0001810	BP0817	
OG0001811	BP0818	
OG0001812	BP0819	
OG0001813	BP0821	
OG0001814	BP0822	
OG0001815	BP0823	
OG0001816	BP0824	
OG0001817	BP0825	
OG0001818	BP0826	
OG0001819	BP0827	
OG0001820	BP0828	
OG0001821	BP0830	
OG0001822	BP0831	
OG0001823	BP0832	
OG0001824	BP0834	
OG0001825	BP0835	
OG0001826	BP0836	
OG0001827	BP0837	
OG0001828	BP0838	
OG0001829	BP0839	
OG0001830	BP0840	
OG0001831	BP0843	
OG0001832	BP0855	
OG0001833	BP0858	
OG0001834	BP0859	
OG0001835	BP0860	
OG0001836	BP0861	
OG0001837	BP0867	
OG0001838	BP0870	
OG0001839	BP0871	
OG0001840	BP0872	
OG0001841	BP0873	
OG0001842	BP0874	
OG0001843	BP0875	
OG0001844	BP0876	
OG0001845	BP0877	
OG0001846	BP0878	
OG0001847	BP0882	
OG0001848	BP0883	
OG0001849	BP0884	
OG0001850	BP0886	
OG0001851	BP0887	
OG0001852	BP0888	
OG0001853	BP0889	
OG0001854	BP0891	
OG0001855	BP0892	
OG0001856	BP0893	
OG0001857	BP0894	
OG0001858	BP0895	
OG0001859	BP0896	
OG0001860	BP0897	
OG0001861	BP0898	
OG0001862	BP0899	
OG0001863	BP0902	
OG0001864	BP0903	
OG0001865	BP0906	
OG0001866	BP0908	
OG0001867	BP0910	
OG0001868	BP0911	
OG0001869	BP0914	
OG0001870	BP0915	
OG0001871	BP0918	
OG0001872	BP0919	
OG0001873	BP0920	
OG0001874	BP0921	
OG0001875	BP0923	
OG0001876	BP0924	
OG0001877	BP0925	
OG0001878	BP0926	
OG0001879	BP0927	
OG0001880	BP0929	
OG0001881	BP0930	
OG0001882	BP0931	
OG0001883	BP0932	
OG0001884	BP0934	
OG0001885	BP0935	
OG0001886	BP0936	
OG0001887	BP0937	
OG0001888	BP0938	
OG0001889	BP0939	
OG0001890	BP0940	
OG0001891	BP0941	
OG0001892	BP0947	
OG0001893	BP0952	
OG0001894	BP0956	
OG0001895	BP0957	
OG0001896	BP0960	
OG0001897	BP0964	
OG0001898	BP0965	
OG0001899	BP0972	
OG0001900	BP0973	
OG0001901	BP0974	
OG0001902	BP0981	
OG0001903	BP0983	
OG0001904	BP0988	
OG0001905	BP0992	
OG0001906	BP0997	
OG0001907	BP1002	
OG0001908	BP1004	
OG0001909	BP1005	
OG0001910	BP1009	
OG0001911	BP1012	
OG0001912	BP1016	
OG0001913	BP1017	
OG0001914	BP1018	
OG0001915	BP1019	
OG0001916	BP1020	
OG0001917	BP1035	
OG0001918	BP1044	
OG0001919	BP1048	
OG0001920	BP1053	
OG0001921	BP1056	
OG0001922	BP1058	
OG0001923	BP1059	
OG0001924	BP1062	
OG0001925	BP1063	
OG0001926	BP1064	
OG0001927	BP1066	
OG0001928	BP1067	
OG0001929	BP1074	
OG0001930	BP1080	
OG0001931	BP1083	
OG0001932	BP1084	
OG0001933	BP1086	
OG0001934	BP1087	
OG0001935	BP1089	
OG0001936	BP1091	
OG0001937	BP1092	
OG0001938	BP1093	
OG0001939	BP1094	
OG0001940	BP1095	
OG0001941	BP1097	
OG0001942	BP1098	
OG0001943	BP1099	
OG0001944	BP1101	
OG0001945	BP1103	
OG0001946	BP1106	
OG0001947	BP1110	
OG0001948	BP1111	
OG0001949	BP1112	
OG0001950	BP1115	
OG0001951	BP1119	
OG0001952	BP1121	
OG0001953	BP1122	
OG0001954	BP1123	
OG0001955	BP1126	
OG0001956	BP1128	
OG0001957	BP1129	
OG0001958	BP1130	
OG0001959	BP1131	
OG0001960	BP1132	
OG0001961	BP1134	
OG0001962	BP1136	
OG0001963	BP1137	
OG0001964	BP1139	
OG0001965	BP1141	
OG0001966	BP1142	
OG0001967	BP1149	
OG0001968	BP1150	
OG0001969	BP1151	
OG0001970	BP1152	
OG0001971	BP1153	
OG0001972	BP1154	
OG0001973	BP1156	
OG0001974	BP1157	
OG0001975	BP1158	
OG0001976	BP1159	
OG0001977	BP1160	
OG0001978	BP1163	
OG0001979	BP1164	
OG0001980	BP1165A	
OG0001981	BP1166	
OG0001982	BP1167	
OG0001983	BP1168	
OG0001984	BP1169	
OG0001985	BP1170	
OG0001986	BP1171	
OG0001987	BP1174	
OG0001988	BP1176	
OG0001989	BP1177	
OG0001990	BP1178	
OG0001991	BP1180	
OG0001992	BP1181	
OG0001993	BP1182	
OG0001994	BP1183	
OG0001995	BP1184	
OG0001996	BP1185	
OG0001997	BP1188	
OG0001998	BP1188A	
OG0001999	BP1191	
OG0002000	BP1192	
OG0002001	BP1196	
OG0002002	BP1199	
OG0002003	BP1202	
OG0002004	BP1203	
OG0002005	BP1204	
OG0002006	BP1205	
OG0002007	BP1206	
OG0002008	BP1208	
OG0002009	BP1211	
OG0002010	BP1212	
OG0002011	BP1213	
OG0002012	BP1214	
OG0002013	BP1215	
OG0002014	BP1216	
OG0002015	BP1218	
OG0002016	BP1219	
OG0002017	BP1220	
OG0002018	BP1222	
OG0002019	BP1223	
OG0002020	BP1224	
OG0002021	BP1225	
OG0002022	BP1228	
OG0002023	BP1229	
OG0002024	BP1231	
OG0002025	BP1233	
OG0002026	BP1234	
OG0002027	BP1238	
OG0002028	BP1239	
OG0002029	BP1240	
OG0002030	BP1243	
OG0002031	BP1251	
OG0002032	BP1252	
OG0002033	BP1253	
OG0002034	BP1255	
OG0002035	BP1259	
OG0002036	BP1265	
OG0002037	BP1268	
OG0002038	BP1277	
OG0002039	BP1278	
OG0002040	BP1286	
OG0002041	BP1287	
OG0002042	BP1290	
OG0002043	BP1291	
OG0002044	BP1292	
OG0002045	BP1293	
OG0002046	BP1295	
OG0002047	BP1296	
OG0002048	BP1298	
OG0002049	BP1302	
OG0002050	BP1304	
OG0002051	BP1305	
OG0002052	BP1307	
OG0002053	BP1308	
OG0002054	BP1311	
OG0002055	BP1313	
OG0002056	BP1314	
OG0002057	BP1315	
OG0002058	BP1318	
OG0002059	BP1319	
OG0002060	BP1323	
OG0002061	BP1326	
OG0002062	BP1332	
OG0002063	BP1333	
OG0002064	BP1334	
OG0002065	BP1335	
OG0002066	BP1337	
OG0002067	BP1345	
OG0002068	BP1346	
OG0002069	BP1347	
OG0002070	BP1349	
OG0002071	BP1350	
OG0002072	BP1352	
OG0002073	BP1353	
OG0002074	BP1354	
OG0002075	BP1355	
OG0002076	BP1356	
OG0002077	BP1358	
OG0002078	BP1359	
OG0002079	BP1361	
OG0002080	BP1362	
OG0002081	BP1365	
OG0002082	BP1370	
OG0002083	BP1384	
OG0002084	BP1385	
OG0002085	BP1388	
OG0002086	BP1397	
OG0002087	BP1405	
OG0002088	BP1406	
OG0002089	BP1408	
OG0002090	BP1411	
OG0002091	BP1413	
OG0002092	BP1416	
OG0002093	BP1434	
OG0002094	BP1437	
OG0002095	BP1438	
OG0002096	BP1439	
OG0002097	BP1445	
OG0002098	BP1446	
OG0002099	BP1448	
OG0002100	BP1449	
OG0002101	BP1450	
OG0002102	BP1456	
OG0002103	BP1457	
OG0002104	BP1458	
OG0002105	BP1459	
OG0002106	BP1467	
OG0002107	BP1468	
OG0002108	BP1469	
OG0002109	BP1470	
OG0002110	BP1471	
OG0002111	BP1474	
OG0002112	BP1476	
OG0002113	BP1477	
OG0002114	BP1479	
OG0002115	BP1480	
OG0002116	BP1485	
OG0002117	BP1487	
OG0002118	BP1488	
OG0002119	BP1489	
OG0002120	BP1490	
OG0002121	BP1491	
OG0002122	BP1493	
OG0002123	BP1495	
OG0002124	BP1503	
OG0002125	BP1505	
OG0002126	BP1506	
OG0002127	BP1507	
OG0002128	BP1508	
OG0002129	BP1509	
OG0002130	BP1510	
OG0002131	BP1511	
OG0002132	BP1512	
OG0002133	BP1513	
OG0002134	BP1514	
OG0002135	BP1515	
OG0002136	BP1516	
OG0002137	BP1517	
OG0002138	BP1518	
OG0002139	BP1520	
OG0002140	BP1521	
OG0002141	BP1524	
OG0002142	BP1525	
OG0002143	BP1529	
OG0002144	BP1530	
OG0002145	BP1532	
OG0002146	BP1533	
OG0002147	BP1534	
OG0002148	BP1535	
OG0002149	BP1536	
OG0002150	BP1537	
OG0002151	BP1538	
OG0002152	BP1539	
OG0002153	BP1543	
OG0002154	BP1544	
OG0002155	BP1545A	
OG0002156	BP1547	
OG0002157	BP1548	
OG0002158	BP1552	
OG0002159	BP1553	
OG0002160	BP1554	
OG0002161	BP1557	
OG0002162	BP1558	
OG0002163	BP1560	
OG0002164	BP1561	
OG0002165	BP1562	
OG0002166	BP1565	
OG0002167	BP1568	
OG0002168	BP1569	
OG0002169	BP1572	
OG0002170	BP1579	
OG0002171	BP1580	
OG0002172	BP1581	
OG0002173	BP1584	
OG0002174	BP1585	
OG0002175	BP1586	
OG0002176	BP1589	
OG0002177	BP1590	
OG0002178	BP1591	
OG0002179	BP1594	
OG0002180	BP1601	
OG0002181	BP1602	
OG0002182	BP1604	
OG0002183	BP1605	
OG0002184	BP1606	
OG0002185	BP1614	
OG0002186	BP1615	
OG0002187	BP1619	
OG0002188	BP1623	
OG0002189	BP1624	
OG0002190	BP1625	
OG0002191	BP1626	
OG0002192	BP1627	
OG0002193	BP1630	
OG0002194	BP1631	
OG0002195	BP1633	
OG0002196	BP1636	
OG0002197	BP1637	
OG0002198	BP1638	
OG0002199	BP1639	
OG0002200	BP1640	
OG0002201	BP1641	
OG0002202	BP1643	
OG0002203	BP1644	
OG0002204	BP1645	
OG0002205	BP1646	
OG0002206	BP1647	
OG0002207	BP1649	
OG0002208	BP1650	
OG0002209	BP1651	
OG0002210	BP1653	
OG0002211	BP1654	
OG0002212	BP1655	
OG0002213	BP1656	
OG0002214	BP1657	
OG0002215	BP1659	
OG0002216	BP1660	
OG0002217	BP1662	
OG0002218	BP1665	
OG0002219	BP1666	
OG0002220	BP1667	
OG0002221	BP1668	
OG0002222	BP1669	
OG0002223	BP1670	
OG0002224	BP1671	
OG0002225	BP1672	
OG0002226	BP1673	
OG0002227	BP1674	
OG0002228	BP1675	
OG0002229	BP1678	
OG0002230	BP1680	
OG0002231	BP1682	
OG0002232	BP1683	
OG0002233	BP1685	
OG0002234	BP1686	
OG0002235	BP1687	
OG0002236	BP1688	
OG0002237	BP1689	
OG0002238	BP1692	
OG0002239	BP1693	
OG0002240	BP1694	
OG0002241	BP1695	
OG0002242	BP1696	
OG0002243	BP1697	
OG0002244	BP1698	
OG0002245	BP1699	
OG0002246	BP1702	
OG0002247	BP1703	
OG0002248	BP1704	
OG0002249	BP1705	
OG0002250	BP1707	
OG0002251	BP1708	
OG0002252	BP1709	
OG0002253	BP1711	
OG0002254	BP1713	
OG0002255	BP1717	
OG0002256	BP1722	
OG0002257	BP1723	
OG0002258	BP1724	
OG0002259	BP1727	
OG0002260	BP1728	
OG0002261	BP1729	
OG0002262	BP1735	
OG0002263	BP1737	
OG0002264	BP1743	
OG0002265	BP1744	
OG0002266	BP1745	
OG0002267	BP1746	
OG0002268	BP1748	
OG0002269	BP1749	
OG0002270	BP1750	
OG0002271	BP1756	
OG0002272	BP1757	
OG0002273	BP1757A	
OG0002274	BP1758	
OG0002275	BP1766	
OG0002276	BP1767	
OG0002277	BP1768	
OG0002278	BP1769	
OG0002279	BP1770	
OG0002280	BP1771	
OG0002281	BP1778	
OG0002282	BP1779	
OG0002283	BP1780	
OG0002284	BP1781	
OG0002285	BP1782	
OG0002286	BP1783	
OG0002287	BP1784	
OG0002288	BP1785	
OG0002289	BP1788	
OG0002290	BP1789	
OG0002291	BP1792	
OG0002292	BP1795	
OG0002293	BP1807	
OG0002294	BP1808	
OG0002295	BP1809	
OG0002296	BP1810	
OG0002297	BP1813	
OG0002298	BP1814	
OG0002299	BP1819	
OG0002300	BP1820	
OG0002301	BP1822	
OG0002302	BP1823	
OG0002303	BP1824	
OG0002304	BP1825	
OG0002305	BP1826	
OG0002306	BP1827	
OG0002307	BP1829	
OG0002308	BP1830	
OG0002309	BP1831	
OG0002310	BP1833	
OG0002311	BP1834	
OG0002312	BP1835	
OG0002313	BP1838	
OG0002314	BP1843	
OG0002315	BP1844	
OG0002316	BP1850	
OG0002317	BP1851	
OG0002318	BP1852	
OG0002319	BP1855	
OG0002320	BP1857	
OG0002321	BP1860	
OG0002322	BP1861	
OG0002323	BP1862	
OG0002324	BP1863	
OG0002325	BP1866	
OG0002326	BP1874	
OG0002327	BP1875	
OG0002328	BP1876	
OG0002329	BP1879	
OG0002330	BP1883	
OG0002331	BP1884	
OG0002332	BP1886	
OG0002333	BP1887	
OG0002334	BP1890	
OG0002335	BP1891	
OG0002336	BP1892	
OG0002337	BP1894	
OG0002338	BP1895	
OG0002339	BP1896	
OG0002340	BP1899	
OG0002341	BP1900	
OG0002342	BP1907	
OG0002343	BP1909	
OG0002344	BP1911	
OG0002345	BP1914	
OG0002346	BP1915	
OG0002347	BP1916	
OG0002348	BP1917	
OG0002349	BP1918	
OG0002350	BP1919	
OG0002351	BP1920	
OG0002352	BP1922	
OG0002353	BP1923	
OG0002354	BP1924	
OG0002355	BP1925	
OG0002356	BP1926	
OG0002357	BP1928	
OG0002358	BP1929	
OG0002359	BP1930	
OG0002360	BP1931	
OG0002361	BP1933	
OG0002362	BP1934	
OG0002363	BP1935	
OG0002364	BP1936	
OG0002365	BP1937	
OG0002366	BP1938	
OG0002367	BP1939	
OG0002368	BP1941	
OG0002369	BP1944	
OG0002370	BP1945	
OG0002371	BP1946	
OG0002372	BP1947	
OG0002373	BP1948	
OG0002374	BP1949	
OG0002375	BP1950	
OG0002376	BP1951	
OG0002377	BP1953	
OG0002378	BP1954	
OG0002379	BP1955	
OG0002380	BP1957	
OG0002381	BP1958	
OG0002382	BP1959	
OG0002383	BP1961	
OG0002384	BP1962	
OG0002385	BP1965	
OG0002386	BP1969	
OG0002387	BP1971	
OG0002388	BP1975	
OG0002389	BP1979	
OG0002390	BP1980	
OG0002391	BP1982	
OG0002392	BP1983	
OG0002393	BP1984	
OG0002394	BP1985	
OG0002395	BP1987	
OG0002396	BP1989	
OG0002397	BP1990	
OG0002398	BP1991	
OG0002399	BP1992	
OG0002400	BP1993	
OG0002401	BP1994	
OG0002402	BP1995	
OG0002403	BP1997	
OG0002404	BP1999	
OG0002405	BP2001	
OG0002406	BP2003	
OG0002407	BP2004	
OG0002408	BP2005	
OG0002409	BP2006	
OG0002410	BP2007	
OG0002411	BP2008	
OG0002412	BP2009	
OG0002413	BP2011	
OG0002414	BP2012	
OG0002415	BP2015	
OG0002416	BP2016	
OG0002417	BP2017	
OG0002418	BP2018	
OG0002419	BP2019	
OG0002420	BP2020	
OG0002421	BP2022	
OG0002422	BP2023	
OG0002423	BP2024	
OG0002424	BP2027	
OG0002425	BP2028	
OG0002426	BP2029	
OG0002427	BP2030	
OG0002428	BP2034	
OG0002429	BP2037	
OG0002430	BP2038	
OG0002431	BP2039	
OG0002432	BP2040	
OG0002433	BP2043	
OG0002434	BP2047	
OG0002435	BP2048	
OG0002436	BP2049	
OG0002437	BP2054	
OG0002438	BP2055	
OG0002439	BP2058	
OG0002440	BP2060	
OG0002441	BP2061	
OG0002442	BP2062	
OG0002443	BP2063	
OG0002444	BP2066	
OG0002445	BP2068	
OG0002446	BP2070	
OG0002447	BP2072	
OG0002448	BP2073	
OG0002449	BP2074	
OG0002450	BP2076	
OG0002451	BP2086	
OG0002452	BP2087	
OG0002453	BP2089	
OG0002454	BP2090	
OG0002455	BP2093	
OG0002456	BP2094	
OG0002457	BP2095	
OG0002458	BP2096	
OG0002459	BP2097	
OG0002460	BP2098	
OG0002461	BP2099	
OG0002462	BP2100	
OG0002463	BP2102	
OG0002464	BP2103	
OG0002465	BP2104	
OG0002466	BP2105	
OG0002467	BP2106	
OG0002468	BP2107	
OG0002469	BP2108	
OG0002470	BP2109	
OG0002471	BP2111	
OG0002472	BP2115	
OG0002473	BP2116	
OG0002474	BP2119	
OG0002475	BP2121	
OG0002476	BP2124	
OG0002477	BP2125	
OG0002478	BP2125A	
OG0002479	BP2126	
OG0002480	BP2127	
OG0002481	BP2130	
OG0002482	BP2131	
OG0002483	BP2132	
OG0002484	BP2133	
OG0002485	BP2134	
OG0002486	BP2135	
OG0002487	BP2137	
OG0002488	BP2138	
OG0002489	BP2139	
OG0002490	BP2140	
OG0002491	BP2141	
OG0002492	BP2144	
OG0002493	BP2145	
OG0002494	BP2146	
OG0002495	BP2147	
OG0002496	BP2148	
OG0002497	BP2149	
OG0002498	BP2152	
OG0002499	BP2156	
OG0002500	BP2158	
OG0002501	BP2161	
OG0002502	BP2163	
OG0002503	BP2166	
OG0002504	BP2167	
OG0002505	BP2168	
OG0002506	BP2170	
OG0002507	BP2171	
OG0002508	BP2172	
OG0002509	BP2173	
OG0002510	BP2174	
OG0002511	BP2175	
OG0002512	BP2176	
OG0002513	BP2181	
OG0002514	BP2183	
OG0002515	BP2187	
OG0002516	BP2189	
