Orthogroup	creidhartii	Cvulgaris
OG0000007	CRv4_Au5_s1_g2019_t1, CRv4_Au5_s16_g6033_t1, CRv4_Au5_s4_g11677_t1, CRv4_Au5_s11_g2636_t1	genemark_Scaffold_57-abinit-gene-0.7-mRNA-1 protein AED_0.46 eAED_0.48 QI_0|0|0|0.22|1|1|9|0|481, maker_Scaffold_10-snap-gene-0.52-mRNA-1 protein AED_0.26 eAED_0.29 QI_0|0|0|0.5|0|0|4|0|873, snap_masked_Scaffold_567-abinit-gene-0.18-mRNA-1 protein AED_0.42 eAED_0.43 QI_0|-1|0|1|-1|1|1|0|165, genemark_Scaffold_693-abinit-gene-0.20-mRNA-1 protein AED_0.42 eAED_0.42 QI_0|0|0|0.5|1|1|8|0|351, maker_Scaffold_1512-snap-gene-0.102-mRNA-1 protein AED_0.16 eAED_0.21 QI_0|0|0|0.66|1|1|3|0|559, genemark_Scaffold_532-abinit-gene-0.14-mRNA-1 protein AED_0.44 eAED_0.48 QI_0|0|0|0.57|1|1|7|0|420, genemark_Scaffold_111-abinit-gene-0.14-mRNA-1 protein AED_0.78 eAED_0.78 QI_0|0|0|0.28|1|1|7|0|505, genemark_Scaffold_111-abinit-gene-0.9-mRNA-1 protein AED_0.62 eAED_0.63 QI_0|0|0|0.42|1|1|7|0|495, genemark_Scaffold_101-abinit-gene-0.6-mRNA-1 protein AED_0.49 eAED_0.50 QI_0|0|0|0.5|1|1|4|0|253, genemark_Scaffold_1695-abinit-gene-0.4-mRNA-1 protein AED_0.20 eAED_0.22 QI_0|0|0|0.55|1|1|9|0|993
OG0000008	CRv4_Au5_s7_g14030_t1, CRv4_Au5_s2_g9501_t1, CRv4_Au5_s1_g1547_t1, CRv4_Au5_s8_g14812_t1, CRv4_Au5_s10_g152_t1, CRv4_Au5_s6_g12451_t1, CRv4_Au5_s17_g7903_t1, CRv4_Au5_s12_g3662_t1, CRv4_Au5_s17_g7714_t1, CRv4_Au5_s10_g573_t1, CRv4_Au5_s50_g11941_t1, CRv4_Au5_s2_g9542_t1, CRv4_Au5_s2_g8663_t1, CRv4_Au5_s6_g13580_t1	genemark_Scaffold_529-abinit-gene-0.3-mRNA-1 protein AED_0.25 eAED_0.32 QI_0|0|0|0.52|1|1|34|0|1539
OG0000009	CRv4_Au5_s12_g3310_t1	genemark_Scaffold_436-abinit-gene-0.18-mRNA-1 protein AED_0.57 eAED_0.73 QI_0|0|0|0.75|1|1|4|0|192
OG0000009	CRv4_Au5_s12_g3421_t1	maker_Scaffold_1039-augustus-gene-0.13-mRNA-1 protein AED_0.24 eAED_0.26 QI_0|0|0|1|1|1|4|0|471, augustus_masked_Scaffold_327-abinit-gene-0.10-mRNA-1 protein AED_0.13 eAED_0.14 QI_0|0|0|1|1|1|4|0|635, maker_Scaffold_885-augustus-gene-0.71-mRNA-1 protein AED_0.31 eAED_0.31 QI_0|0|0|0.77|1|1|9|0|712, maker_Scaffold_436-snap-gene-0.78-mRNA-1 protein AED_0.27 eAED_0.28 QI_0|0.89|0.8|1|0.78|0.9|20|0|787, genemark_Scaffold_436-abinit-gene-0.12-mRNA-1 protein AED_0.80 eAED_0.82 QI_0|0|0|0.22|1|1|18|0|883, maker_Scaffold_992-snap-gene-0.162-mRNA-1 protein AED_0.26 eAED_0.28 QI_0|0.63|0.5|0.85|0.52|0.5|20|0|1289, genemark_Scaffold_1893-abinit-gene-0.5-mRNA-1 protein AED_0.26 eAED_0.32 QI_0|0|0|0.55|1|0.9|20|0|1154, maker_Scaffold_1051-augustus-gene-0.96-mRNA-1 protein AED_0.25 eAED_0.27 QI_0|0.1|0.18|0.81|1|1|11|0|682, maker_Scaffold_1526-augustus-gene-0.68-mRNA-1 protein AED_0.35 eAED_0.37 QI_0|0.62|0.44|0.88|0.87|0.55|9|0|537, maker_Scaffold_225-augustus-gene-0.189-mRNA-1 protein AED_0.48 eAED_0.48 QI_0|0.4|0.36|0.63|1|1|11|0|476, maker_Scaffold_807-snap-gene-0.116-mRNA-1 protein AED_0.48 eAED_0.49 QI_0|0|0|0.6|0.25|0|5|0|548
OG0000010	CRv4_Au5_s1_g2208_t1, CRv4_Au5_s17_g7692_t1, CRv4_Au5_s6_g13515_t2, CRv4_Au5_s6_g13515_t1, CRv4_Au5_s5_g12212_t1, CRv4_Au5_s18_g8064_t1, CRv4_Au5_s18_g8065_t1, CRv4_Au5_s18_g8066_t1, CRv4_Au5_s44_g11897_t1, CRv4_Au5_s16_g6206_t1, CRv4_Au5_s16_g6207_t1, CRv4_Au5_s13_g5073_t1	maker_Scaffold_76-augustus-gene-0.239-mRNA-1 protein AED_0.16 eAED_0.16 QI_0|0.75|0.53|0.76|0.83|0.84|13|0|619
OG0000011	CRv4_Au5_s32_g11402_t1, CRv4_Au5_s10_g18_t1, CRv4_Au5_s9_g15737_t1	maker_Scaffold_1491-snap-gene-0.3-mRNA-1 protein AED_0.09 eAED_0.11 QI_74|0.66|0.42|1|0.66|0.57|7|0|335, maker_Scaffold_588-snap-gene-0.41-mRNA-1 protein AED_0.14 eAED_0.14 QI_16|0.66|0.42|1|0|0|7|0|393, maker_Scaffold_1491-snap-gene-0.4-mRNA-1 protein AED_0.38 eAED_0.38 QI_0|0.6|0.33|0.66|0.8|0.83|6|0|452, maker_Scaffold_187-snap-gene-0.92-mRNA-1 protein AED_0.17 eAED_0.24 QI_0|0.57|0.37|1|0.71|0.5|8|0|310, maker_Scaffold_2889-snap-gene-0.6-mRNA-1 protein AED_0.22 eAED_0.23 QI_0|0.66|0.42|0.85|0.33|0.14|7|0|341, genemark_Scaffold_305-abinit-gene-0.7-mRNA-1 protein AED_0.26 eAED_0.26 QI_0|0.25|0|0.8|1|1|5|0|201, genemark_Scaffold_985-abinit-gene-0.5-mRNA-1 protein AED_0.34 eAED_0.36 QI_0|0|0|0.85|1|1|7|0|375, snap_masked_Scaffold_2889-abinit-gene-0.1-mRNA-1 protein AED_0.61 eAED_0.61 QI_0|-1|0|1|-1|1|1|0|147, genemark_Scaffold_1601-abinit-gene-0.0-mRNA-1 protein AED_0.35 eAED_0.38 QI_0|0|0|0.75|1|1|4|0|193
OG0000012	CRv4_Au5_s5_g11992_t1, CRv4_Au5_s1_g1317_t1	maker_Scaffold_374-augustus-gene-0.163-mRNA-1 protein AED_0.04 eAED_0.05 QI_0|0.8|0.54|1|0.9|0.90|11|0|546, genemark_Scaffold_2745-abinit-gene-0.5-mRNA-1 protein AED_0.41 eAED_0.41 QI_0|0|0|0.5|1|1|4|0|149, maker_Scaffold_117-augustus-gene-0.78-mRNA-1 protein AED_0.38 eAED_0.38 QI_0|0|0|0.5|1|0.87|8|0|426, genemark_Scaffold_1164-abinit-gene-0.12-mRNA-1 protein AED_0.40 eAED_0.40 QI_0|0|0|0.37|1|1|8|0|397, maker_Scaffold_186-snap-gene-0.126-mRNA-1 protein AED_0.20 eAED_0.21 QI_0|0.55|0.4|0.7|0.66|0.5|10|0|740, maker_Scaffold_2297-augustus-gene-0.6-mRNA-1 protein AED_0.20 eAED_0.20 QI_0|0.6|0.33|0.66|1|1|6|0|242, maker_Scaffold_520-snap-gene-0.215-mRNA-1 protein AED_0.15 eAED_0.15 QI_0|0.62|0.55|1|0.5|0.44|9|0|509, maker_Scaffold_52-augustus-gene-0.104-mRNA-1 protein AED_0.29 eAED_0.32 QI_0|0|0|0.5|0.85|1|8|0|353, genemark_Scaffold_163-abinit-gene-0.7-mRNA-1 protein AED_0.29 eAED_0.29 QI_0|0.5|0.45|1|1|1|11|0|736
OG0000013	CRv4_Au5_s17_g7857_t1	maker_Scaffold_73-augustus-gene-0.85-mRNA-1 protein AED_0.13 eAED_0.14 QI_0|1|0.5|1|1|1|4|0|249, maker_Scaffold_2404-augustus-gene-0.24-mRNA-1 protein AED_0.18 eAED_0.18 QI_0|1|0.5|1|1|1|4|0|249, maker_Scaffold_979-snap-gene-0.118-mRNA-1 protein AED_0.28 eAED_0.28 QI_0|0.6|0.33|0.66|0|0.16|6|0|316, maker_Scaffold_435-snap-gene-0.203-mRNA-1 protein AED_0.14 eAED_0.14 QI_0|0.66|0.57|1|0.5|0.42|7|0|404, maker_Scaffold_1377-snap-gene-0.73-mRNA-1 protein AED_0.20 eAED_0.21 QI_0|0.75|0.4|1|1|1|5|0|468, maker_Scaffold_98-augustus-gene-0.165-mRNA-1 protein AED_0.13 eAED_0.13 QI_0|0.6|0.33|1|1|0.83|6|0|321, genemark_Scaffold_1591-abinit-gene-0.1-mRNA-1 protein AED_0.13 eAED_0.14 QI_0|-1|0|1|-1|1|1|0|231, snap_masked_Scaffold_974-abinit-gene-0.31-mRNA-1 protein AED_0.13 eAED_0.13 QI_0|0|0|0.5|1|1|2|0|355, maker_Scaffold_2850-snap-gene-0.2-mRNA-1 protein AED_0.21 eAED_0.24 QI_0|0|0|0.5|0|0|2|0|164, genemark_Scaffold_373-abinit-gene-0.8-mRNA-1 protein AED_0.12 eAED_0.12 QI_0|-1|0|1|-1|1|1|0|215
OG0000014	CRv4_Au5_s8_g14690_t1, CRv4_Au5_s1_g2331_t1, CRv4_Au5_s1_g1861_t1	maker_Scaffold_699-snap-gene-0.35-mRNA-1 protein AED_0.04 eAED_0.07 QI_0|0.83|0.57|1|0.83|0.71|7|0|468, maker_Scaffold_992-augustus-gene-0.136-mRNA-1 protein AED_0.12 eAED_0.13 QI_0|0.6|0.33|1|0.6|0.5|6|0|351, maker_Scaffold_830-augustus-gene-0.42-mRNA-1 protein AED_0.40 eAED_0.42 QI_0|0|0|0.6|1|1|5|0|234, augustus_masked_Scaffold_125-abinit-gene-0.3-mRNA-1 protein AED_0.31 eAED_0.31 QI_0|1|0|1|1|1|2|0|157, genemark_Scaffold_1704-abinit-gene-0.6-mRNA-1 protein AED_0.18 eAED_0.18 QI_0|0|0|1|1|1|2|0|238, maker_Scaffold_510-augustus-gene-0.31-mRNA-1 protein AED_0.34 eAED_0.34 QI_0|0.3|0.27|0.45|0.8|0.81|11|0|581, maker_Scaffold_1428-augustus-gene-0.21-mRNA-1 protein AED_0.16 eAED_0.17 QI_0|0.75|0.4|1|1|1|5|0|397
OG0000015	CRv4_Au5_s1_g1895_t2, CRv4_Au5_s1_g1898_t1, CRv4_Au5_s1_g1909_t1, CRv4_Au5_s1_g1897_t1, CRv4_Au5_s1_g1895_t1, CRv4_Au5_s1_g1896_t1, CRv4_Au5_s1_g1910_t1, CRv4_Au5_s1_g1895_t3, CRv4_Au5_s1_g1911_t1	genemark_Scaffold_933-abinit-gene-0.8-mRNA-1 protein AED_0.08 eAED_0.09 QI_0|0.42|0.37|0.87|1|1|8|0|583
OG0000016	CRv4_Au5_s7_g13979_t1, CRv4_Au5_s13_g4650_t1, CRv4_Au5_s20_g8224_t1, CRv4_Au5_s7_g14300_t1, CRv4_Au5_s7_g14301_t1, CRv4_Au5_s7_g14307_t1, CRv4_Au5_s7_g14306_t1, CRv4_Au5_s7_g14305_t1, CRv4_Au5_s7_g14339_t1	maker_Scaffold_514-augustus-gene-0.15-mRNA-1 protein AED_0.16 eAED_0.17 QI_0|1|0.5|1|0|0.5|2|175|201
OG0000017	CRv4_Au5_s20_g8263_t1	maker_Scaffold_240-augustus-gene-0.237-mRNA-1 protein AED_0.40 eAED_0.40 QI_0|0|0|1|1|1|2|0|87, genemark_Scaffold_240-abinit-gene-0.63-mRNA-1 protein AED_0.42 eAED_0.43 QI_0|0|0|0.5|1|1|6|0|312, genemark_Scaffold_151-abinit-gene-0.4-mRNA-1 protein AED_0.16 eAED_0.19 QI_0|0|0|0.5|1|1|8|0|669
OG0000017	CRv4_Au5_s13_g4597_t1	maker_Scaffold_172-augustus-gene-0.19-mRNA-1 protein AED_0.20 eAED_0.20 QI_0|1|0.5|1|1|0.5|2|0|176, genemark_Scaffold_1754-abinit-gene-0.5-mRNA-1 protein AED_0.32 eAED_0.32 QI_0|0.5|0|0.8|1|1|5|0|424, genemark_Scaffold_1576-abinit-gene-0.6-mRNA-1 protein AED_0.22 eAED_0.22 QI_0|0|0|0.5|1|1|4|0|354, maker_Scaffold_178-snap-gene-0.145-mRNA-1 protein AED_0.46 eAED_0.71 QI_0|0|0|1|0|0|3|0|82
OG0000018	CRv4_Au5_s16_g6437_t1	augustus_masked_Scaffold_96-abinit-gene-0.2-mRNA-1 protein AED_0.47 eAED_0.47 QI_0|0.1|0|0.18|1|1|11|0|452, maker_Scaffold_374-snap-gene-0.185-mRNA-1 protein AED_0.07 eAED_0.18 QI_0|0.71|0.68|1|0.38|0.40|22|0|1041, maker_Scaffold_225-snap-gene-0.219-mRNA-1 protein AED_0.36 eAED_0.40 QI_0|0.62|0.33|1|0.37|0.44|9|0|612, maker_Scaffold_651-augustus-gene-0.139-mRNA-1 protein AED_0.16 eAED_0.16 QI_0|0.57|0.46|0.8|1|0.93|15|0|727, maker_Scaffold_260-augustus-gene-0.135-mRNA-1 protein AED_0.24 eAED_0.25 QI_0|0.55|0.53|0.87|0.77|0.75|41|0|1640, maker_Scaffold_1290-augustus-gene-0.41-mRNA-1 protein AED_0.28 eAED_0.31 QI_0|0|0|0.4|1|1|10|0|482, maker_Scaffold_230-augustus-gene-0.71-mRNA-1 protein AED_0.04 eAED_0.04 QI_0|1|0.66|1|1|1|6|0|474, genemark_Scaffold_1368-abinit-gene-0.3-mRNA-1 protein AED_0.27 eAED_0.30 QI_0|0|0|0.22|1|1|18|0|702
OG0000019	CRv4_Au5_s17_g7752_t1, CRv4_Au5_s1_g1966_t1	maker_Scaffold_563-augustus-gene-0.27-mRNA-1 protein AED_0.13 eAED_0.13 QI_0|1|0.71|1|1|1|7|0|449, maker_Scaffold_2529-augustus-gene-0.27-mRNA-1 protein AED_0.14 eAED_0.14 QI_0|0.71|0.5|1|0.57|0.37|8|0|498, snap_masked_Scaffold_582-abinit-gene-0.68-mRNA-1 protein AED_0.04 eAED_0.04 QI_0|-1|0|1|-1|1|1|0|114, maker_Scaffold_1265-augustus-gene-0.32-mRNA-1 protein AED_0.26 eAED_0.27 QI_0|0.54|0.33|0.83|0.81|0.66|12|0|599, maker_Scaffold_716-snap-gene-0.21-mRNA-1 protein AED_0.13 eAED_0.14 QI_0|0.75|0.61|0.92|0.75|0.69|13|0|583, maker_Scaffold_209-snap-gene-0.208-mRNA-1 protein AED_0.24 eAED_0.24 QI_0|0.66|0.25|0.75|0.66|0.75|4|0|266, maker_Scaffold_1635-augustus-gene-0.27-mRNA-1 protein AED_0.13 eAED_0.14 QI_0|0.87|0.66|1|0.87|0.77|9|0|376
OG0000020	CRv4_Au5_s3_g11082_t1	maker_Scaffold_564-augustus-gene-0.96-mRNA-1 protein AED_0.05 eAED_0.05 QI_71|1|0.83|1|1|0.83|6|0|140
OG0000020	CRv4_Au5_s2_g9518_t1	maker_Scaffold_296-augustus-gene-0.12-mRNA-1 protein AED_0.47 eAED_0.47 QI_0|0.5|0.2|0.6|1|1|5|0|343, maker_Scaffold_93-augustus-gene-0.51-mRNA-1 protein AED_0.39 eAED_0.39 QI_0|0.3|0.18|0.36|1|0.90|11|0|373
OG0000020	CRv4_Au5_s2_g8868_t1	maker_Scaffold_1884-augustus-gene-0.15-mRNA-1 protein AED_0.04 eAED_0.04 QI_0|1|0|1|1|1|2|0|135, maker_Scaffold_1720-augustus-gene-0.13-mRNA-1 protein AED_0.20 eAED_0.20 QI_0|1|0|1|1|0.5|2|0|118
